k|packed
B|104601415_487606|08-24~0,0,1,0 2026-08~0,0,1,0 2026-06M~0,0,1,1 2026-06~0,0,1,1 all~0,0,2,1
B|104619259_492958|2026-05~1,1,3,0 all~1,1,3,0 05-13~1,1,2,0
B|104768250_488475|2026-05~1,0,0,0 all~3,0,1,0 05-17~1,0,0,0 07-28~1,0,0,0 2026-07~1,0,0,0
B|104806457_492367|2026-08~0,0,1,0 all~1,1,2,1 2026-06~0,0,1,1 05-15~1,1,0,0 06-14~0,0,1,1 08-17~0,0,1,0 2026-05~1,1,0,0
B|104905419_493578|all~2,0,0,0 05-25~1,0,0,0 2026-05~2,0,0,0
B|104905643_492987|2026-06M~1,0,1,1 all~2,1,1,1 06-04~1,1,0,0 06-02~1,0,1,1 2026-06~2,1,1,1
B|104923577_496887|06-02~0,0,1,1 2026-06~0,0,3,3 all~0,0,3,3 06-01~0,0,2,2 2026-06M~0,0,3,3
B|104941756_490880|06-11~0,0,1,0 2026-06~0,0,1,0 all~0,0,1,0
B|104956447_496735|all~0,0,1,1 05-29~0,0,1,1 2026-05~0,0,1,1
B|104956447_497530|2026-06~0,0,1,0 07-06~0,0,1,0 06-28~0,0,1,0 all~0,0,3,0 07-04~0,0,1,0 2026-07~0,0,2,0
B|105155591_492466|05-19~0,0,1,1 all~3,3,50,50 05-22~0,0,5,5 05-29~0,0,4,4 05-24~0,0,4,3 05-21~1,1,4,4 05-26~0,0,3,3 05-27~0,0,4,4 06-09~0,0,3,3 05-20~0,0,1,1 05-25~0,0,6,6 2026-06~0,0,3,3 05-14~0,0,5,5 05-23~1,1,7,7 2026-05~3,3,46,46
B|105156098_491469|2026-05~0,0,1,1 05-25~0,0,1,1 all~0,0,2,2
B|105157473_491662|06-29~1,0,0,0 07-01~1,0,0,0 07-18~1,0,0,0 08-24~1,0,0,0 2026-08~2,1,0,0 2026-05~6,2,2,1 07-16~1,0,0,0 08-14~1,1,0,0 06-05~0,0,1,1 05-19~1,0,0,0 2026-07~2,0,0,0 2026-06~2,0,1,1 05-29~1,0,0,0 06-27~1,0,0,0 05-17~1,1,0,0 2026-07M~1,0,0,0 all~13,4,4,3
B|105157473_497065|08-28~1,0,1,0 2026-07~2,2,1,1 2026-08~2,0,1,0 09-02~1,1,0,0 2026-09~1,1,0,0 2026-06~3,1,1,1 07-14~1,1,1,1 06-14~1,0,0,0 all~8,4,4,3 2026-09M~1,1,0,0 07-19~1,1,0,0
B|105191727_492371|all~0,0,7,4 2026-05~0,0,1,1 2026-08~0,0,1,1
B|105280811_492323|08-01~1,0,0,0 06-14~1,0,0,0 2026-06~5,3,2,2 2026-08~1,0,1,0 05-29~0,0,2,2 2026-06M~1,1,1,1 07-15~1,0,0,0 2026-08M~1,0,0,0 2026-07~2,0,1,1 05-21~1,0,0,0 07-27~1,0,0,0 all~13,8,6,6 06-02~1,1,1,1 2026-05~4,2,2,2 06-12~2,1,0,0 05-15~1,1,0,0 05-17~1,0,0,0
B|105280811_497414|07-26~1,0,0,0 08-04~0,0,1,1 07-16~1,1,0,0 07-19~1,1,0,0 06-19~2,1,0,0 2026-06~12,6,3,3 06-14~1,0,0,0 07-17~1,1,0,0 07-31~3,1,1,1 all~28,14,6,6 2026-07~12,6,1,1 06-15~2,0,1,1 06-21~1,1,0,0 07-03~2,1,0,0 06-20~1,1,0,0 07-04~1,0,0,0 06-22~2,1,0,0 06-26~1,0,0,0 08-10~1,0,0,0 07-05~1,1,0,0 06-24~1,1,0,0 06-28~1,0,0,0 2026-08~1,0,1,1
B|105284095_494198|05-30~2,1,0,0 05-15~1,1,0,0 2026-06M~2,1,0,0 06-01~2,1,0,0 2026-06~2,1,0,0 2026-05~5,4,4,1 05-19~0,0,1,1 05-26~1,1,0,0 all~7,5,4,1 05-23~0,0,1,0
B|105284192_492357|05-29~1,1,0,0 05-27~1,1,0,0 06-22~1,0,0,0 all~7,4,1,0 2026-06~2,0,0,0 06-06~1,0,0,0 2026-05~4,3,1,0 05-28~2,1,1,0
B|105284192_501202|all~1,0,0,0 2026-07~1,0,0,0 07-25~1,0,0,0
B|105301207_496527|06-11~0,0,3,0 06-07~0,0,2,0 2026-06~1,1,19,1 06-12~0,0,1,0 06-06~1,1,0,0 05-31~0,0,1,0 06-01~0,0,2,0 06-10~0,0,2,0 05-19~0,0,1,0 2026-05~0,0,2,0 06-23~0,0,1,0 06-04~0,0,1,0 all~1,1,21,1 06-02~0,0,1,0 06-09~0,0,2,0 06-03~0,0,2,0 2026-06M~0,0,3,0
B|105301207_496687|all~0,0,2,0 05-30~0,0,1,0 2026-05~0,0,1,0
B|105301207_497043|06-26~1,0,5,0 06-07~0,0,2,0 06-18~2,0,1,0 06-02~0,0,4,0 06-20~0,0,3,0 07-11~0,0,1,0 06-09~0,0,1,0 07-07~1,0,0,0 06-10~0,0,2,0 06-24~0,0,4,0 07-06~0,0,4,0 06-30~1,0,8,1 08-12~0,0,1,0 08-16~0,0,1,0 06-15~2,0,1,0 06-19~1,0,2,0 07-01~0,0,3,0 07-05~1,0,1,0 06-08~0,0,2,0 06-13~2,0,2,0 07-15~1,0,2,0 06-16~0,0,1,0 2026-08~0,0,2,0 all~22,0,101,2 07-19~0,0,1,0 06-03~0,0,1,0 06-25~0,0,3,0 06-21~0,0,1,0 2026-07~7,0,21,0 2026-06M~0,0,4,0 2026-06~14,0,71,2 06-05~0,0,1,0 06-28~1,0,1,0 07-04~1,0,1,0 07-02~1,0,1,0 06-11~0,0,1,0 06-29~1,0,1,0 06-27~0,0,2,0 06-17~1,0,6,0 2026-07M~1,0,4,0 07-03~1,0,2,0 06-23~0,0,1,0 06-22~0,0,6,1 06-12~0,0,1,0
