k|packed
B|106274090_500909|07-10~0,0,1,0 all~1,0,2,0 2026-07~1,0,2,0
B|106280969_501377|all~2,0,8,6 07-23~2,0,1,0 07-13~0,0,2,2 07-11~0,0,4,2 2026-07~2,0,7,5
B|106291122_500315|2026-07~0,0,25,25 07-12~0,0,5,5 07-13~0,0,4,4 07-14~0,0,1,1 07-15~0,0,12,12 all~0,0,25,25 07-11~0,0,3,3
B|106323207_502223|08-22~1,1,0,0 08-01~1,0,0,0 2026-07~15,9,5,2 08-03~1,1,0,0 06-15~1,0,0,0 07-28~2,2,0,0 07-20~1,0,0,0 08-05~1,0,0,0 07-14~1,1,0,0 all~36,20,9,5 07-29~2,2,1,1 08-06~1,1,0,0 07-25~2,0,1,0 08-30~1,0,0,0 08-09~0,0,1,1 2026-06~1,0,0,0 07-21~2,0,1,0 08-16~2,1,0,0 2026-08M~1,0,0,0 08-18~1,0,0,0 2026-08~16,9,2,2 07-15~1,1,0,0 07-16~1,0,0,0
B|106323583_500453|07-02~0,0,1,1 all~0,0,3,3 2026-07~0,0,3,3 2026-07M~0,0,1,1 07-03~0,0,2,2
B|106338910_500878|2026-06~1,0,0,0 all~1,0,0,0 06-30~1,0,0,0
B|106339238_500627|07-17~0,0,4,4 2026-07M~0,0,2,1 07-05~0,0,1,0 07-01~0,0,2,1 07-08~0,0,1,0 07-06~0,0,3,0 07-21~0,0,4,4 all~0,0,24,19 2026-07~0,0,21,18 07-10~0,0,3,3 07-07~0,0,1,1
B|106442922_501400|all~1,1,0,0 07-08~1,1,0,0 2026-07~1,1,0,0
B|106443424_501087|2026-08~1,0,0,0 all~1,0,0,0
B|106443772_501126|08-12~0,0,5,4 07-13~1,1,0,0 08-14~0,0,1,1 07-19~0,0,1,1 07-12~0,0,1,1 2026-07~3,2,9,9 08-10~0,0,1,1 07-08~0,0,2,2 08-18~0,0,1,0 07-10~0,0,2,1 07-07~1,0,1,1 all~4,2,26,24 08-15~0,0,1,1 2026-08~1,0,15,13 08-13~0,0,3,3 08-23~0,0,1,1 08-17~0,0,1,1
B|106447375_501207|07-14~1,0,0,0 07-07~1,0,0,0 08-11~1,0,0,0 07-24~0,0,1,1 08-31~1,1,0,0 07-19~2,1,0,0 07-29~2,1,0,0 07-27~2,2,0,0 2026-07~23,12,2,1 all~32,17,4,3 08-24~1,0,0,0 07-22~2,2,0,0 08-07~1,0,0,0 07-15~1,1,0,0 08-27~2,1,0,0 07-31~1,1,0,0 08-06~1,1,0,0 2026-08~8,4,0,0 07-13~1,1,0,0 07-09~3,2,0,0 07-23~1,0,0,0 07-30~1,0,0,0 07-17~1,1,0,0 07-16~1,0,0,0 08-23~1,1,0,0
B|106449179_501141|all~0,0,9,6 07-13~0,0,1,1 07-02~0,0,8,5 2026-07M~0,0,8,5 2026-07~0,0,9,6
B|106449861_501147|07-08~1,0,0,0 2026-07~1,0,0,0 all~1,0,0,0
B|106449869_501149|07-13~0,0,1,1 2026-07~3,2,12,12 07-14~0,0,1,1 07-11~0,0,1,1 07-16~0,0,1,1 07-08~2,1,4,4 all~3,2,13,13 07-09~0,0,1,1 07-07~1,1,3,3
B|106465095_501433|08-05~0,0,1,1 08-09~1,0,0,0 07-28~0,0,2,2 08-16~1,1,0,0 2026-09~1,0,2,2 07-27~1,1,0,0 08-21~1,0,1,1 2026-07~1,1,6,6 all~20,10,23,23 08-15~0,0,1,1 08-08~2,1,1,1 08-28~0,0,2,2 2026-08~18,9,15,15 08-29~0,0,2,2 08-25~0,0,1,1 08-07~2,1,1,1 08-11~1,1,0,0 09-02~1,0,2,2 08-27~1,0,3,3 07-30~0,0,2,2 07-13~0,0,1,1 2026-09M~1,0,2,2 08-31~0,0,2,2 08-04~2,0,0,0 08-10~1,1,0,0 08-13~2,1,0,0 08-17~2,2,0,0
B|106514925_501542|all~0,0,13,11 07-13~0,0,1,1 07-08~0,0,8,7 07-14~0,0,1,1 2026-07~0,0,13,11 07-09~0,0,1,1
B|106515843_501681|all~0,0,2,2 2026-07~0,0,2,2 07-10~0,0,1,1
B|106527686_501538|07-09~0,0,14,3 2026-07~0,0,15,3 all~0,0,15,3
B|106528924_501549|2026-07~0,0,14,11 all~0,0,14,11 07-09~0,0,2,0 07-14~0,0,2,0 07-12~0,0,1,1 07-11~0,0,1,0 07-10~0,0,3,3
B|106529519_501559|2026-07~0,0,5,5 08-07~0,0,1,1 2026-08~0,0,2,2 all~0,0,7,7 07-09~0,0,2,2 08-13~0,0,1,1
B|106529566_501571|all~0,0,11,11 07-11~0,0,5,5 07-09~0,0,1,1 07-10~0,0,5,5 2026-07~0,0,11,11
B|106543882_501637|07-25~0,0,1,1 07-28~0,0,2,1 all~0,0,5,4 07-16~0,0,1,1 2026-07~0,0,5,4 07-27~0,0,1,1
B|106543882_502490|all~0,0,1,1 2026-07~0,0,1,1 07-14~0,0,1,1
B|106543882_502508|2026-08~0,0,1,1 all~0,0,13,13 07-15~0,0,3,3 2026-07~0,0,12,12 07-22~0,0,1,1 07-25~0,0,2,2 07-26~0,0,2,2 08-06~0,0,1,1 07-29~0,0,1,1 07-28~0,0,3,3
B|106544975_501688|07-14~0,0,4,4 all~0,0,13,13 07-13~0,0,4,4 07-10~0,0,5,5 2026-07~0,0,13,13
B|106545741_501695|all~2,2,2,2 2026-07~2,2,1,1 07-20~0,0,1,1 07-10~1,1,0,0 07-12~1,1,0,0
B|106545748_501694|07-11~0,0,1,1 2026-07~1,0,3,2 07-23~0,0,1,0 07-22~0,0,1,1 all~1,0,3,2
B|106545753_501693|07-25~0,0,1,0 07-30~0,0,1,1 2026-07~1,0,10,9 07-14~0,0,1,1 all~1,0,10,9 07-11~1,0,2,2
B|106545778_501692|all~4,3,19,19 07-09~0,0,7,7 07-08~0,0,2,1 07-20~0,0,1,1 2026-07~2,1,19,19 07-16~0,0,4,4 07-15~1,0,1,1 06-24~1,1,0,0 07-13~1,1,0,0 2026-06~1,1,0,0
B|106545782_501691|07-27~1,1,1,0 all~5,2,2,0 2026-08~1,0,1,0 07-24~1,1,0,0 08-04~0,0,1,0 2026-07~4,2,1,0 07-31~1,0,0,0 07-25~1,0,0,0
B|106547886_501932|all~0,0,1,0 07-12~0,0,1,0 2026-07~0,0,1,0
B|106548481_501896|07-13~0,0,1,0 2026-07~0,0,1,0 all~0,0,1,0
B|106549394_501765|all~0,0,9,9 07-10~0,0,4,3 08-07~0,0,2,2 2026-08~0,0,3,3 2026-07~0,0,5,5
B|106552167_501937|07-11~0,0,1,1 2026-07~0,0,6,6 all~0,0,6,6 07-10~0,0,2,1 07-13~0,0,2,2
B|106553886_502210|all~0,0,8,3 07-13~0,0,3,0 2026-07~0,0,7,2 07-14~0,0,1,1 07-18~0,0,3,0
B|106561307_501794|all~2,2,2,0 08-24~1,1,0,0 2026-07~0,0,2,0 07-18~0,0,2,0 2026-08~1,1,0,0
B|106561336_501828|08-03~0,0,1,1 all~0,0,2,2 2026-08~0,0,1,1
B|106561338_501832|07-18~0,0,1,1 2026-07~0,0,4,4 08-08~0,0,1,1 08-17~0,0,1,1 all~0,0,7,7 08-16~0,0,1,1 07-24~0,0,1,1 2026-08~0,0,3,3
B|106562375_502013|all~0,0,4,4 07-15~0,0,2,2 2026-07~0,0,4,4
B|106631458_502249|07-29~0,0,1,1 07-14~0,0,2,2 07-16~0,0,1,1 07-17~0,0,1,0 07-28~0,0,6,3 2026-07~2,0,12,8 all~2,0,15,11
B|106633843_502291|2026-07~0,0,1,1 all~0,0,1,1
B|106650788_502556|all~3,3,3,3 2026-07~0,0,1,1 08-31~0,0,1,1 2026-08~1,1,1,1 08-24~1,1,0,0
B|106650916_502564|08-02~0,0,1,0 08-25~3,2,0,0 07-18~0,0,2,2 2026-09M~0,0,1,1 2026-08M~1,1,1,0 2026-09~0,0,1,1 07-22~0,0,1,1 07-17~0,0,1,0 08-01~1,1,0,0 all~12,7,18,17 2026-08~9,4,3,2 08-17~1,0,0,0 07-29~1,1,0,0 2026-07~3,3,8,8 09-02~0,0,1,1 08-19~1,0,0,0 08-16~0,0,1,1 08-03~1,0,0,0 07-27~0,0,1,1 08-20~1,0,0,0
B|106651867_502562|2026-07~5,5,1,0 all~5,5,1,1 07-18~3,3,1,0
B|106665501_507015|2026-08~7,2,1,0 08-31~1,0,0,0 08-26~3,1,0,0 08-30~1,0,0,0 08-29~2,1,1,0 2026-09M~1,0,1,0 all~8,2,2,0 2026-09~1,0,1,0 09-02~1,0,1,0
B|106672995_502892|2026-07~1,0,0,0 all~1,0,0,0
B|106685348_502890|07-21~0,0,8,8 07-20~0,0,1,1 07-18~0,0,5,5 2026-07~0,0,20,20 all~0,0,20,20 07-17~0,0,5,5
B|106686283_502847|all~0,0,4,4 07-18~0,0,4,4 2026-07~0,0,4,4
B|106752094_503292|all~0,0,4,4 08-20~0,0,1,1 07-25~0,0,1,1 2026-08~0,0,2,2 2026-07~0,0,2,2
B|106765045_504269|2026-08~4,4,7,0 08-07~2,1,2,0 2026-08M~2,2,1,0 08-08~0,0,1,0 08-01~1,1,0,0 08-06~0,0,1,0 08-02~1,1,0,0 all~4,4,7,0 08-03~0,0,2,0
B|106765045_504271|07-31~1,0,2,0 2026-08~0,0,1,0 08-01~0,0,1,0 2026-07~1,0,4,0 07-30~0,0,2,0 2026-08M~0,0,1,0 all~1,0,6,0
B|106765045_504296|08-07~0,0,2,0 08-06~0,0,1,0 2026-08M~1,1,8,1 all~2,2,12,1 2026-08~2,2,11,1 08-01~1,1,6,0 07-31~0,0,1,0 2026-07~0,0,1,0
B|106766412_503427|08-03~1,1,0,0 2026-09M~1,1,0,0 2026-09~1,1,0,0 09-02~1,1,0,0 2026-08~4,3,1,0 all~5,4,2,0 08-04~2,2,0,0 08-30~1,0,0,0
B|106798136_503814|2026-07~2,2,1,0 07-26~2,2,1,0 all~2,2,1,0
B|106814578_504240|08-05~0,0,1,1 2026-08~0,0,5,5 all~0,0,5,5 08-07~0,0,1,0 08-03~0,0,1,1
B|106814999_503816|08-29~0,0,1,0 2026-08~0,0,1,0 all~0,0,1,0
B|106814999_505023|08-11~0,0,1,0 all~1,0,1,0 2026-08~0,0,1,0
B|106880023_504161|2026-08~0,0,3,3 all~0,0,4,4 08-05~0,0,3,3 2026-07~0,0,1,0 07-31~0,0,1,0
B|106881426_504162|07-29~0,0,1,1 2026-08~6,3,17,12 2026-07~1,0,1,1 08-15~1,1,0,0 08-12~0,0,3,0 08-07~1,0,2,2 07-30~1,0,0,0 08-18~0,0,2,2 all~7,3,18,13 08-08~0,0,2,2 08-13~0,0,2,2 08-10~1,0,0,0 08-11~0,0,4,0
B|106894663_504241|08-14~0,0,1,0 08-12~0,0,1,0 08-17~0,0,2,0 2026-08~0,0,5,0 all~0,0,5,0 08-15~0,0,1,0
B|106897956_505262|08-08~0,0,18,18 all~0,0,20,20 2026-08~0,0,20,20 08-10~0,0,2,2
B|106912749_504353|07-31~0,0,1,1 all~0,0,1,1 2026-07~0,0,1,1
B|107001106_504965|all~0,0,1,1 2026-08~0,0,1,1
B|107001578_504987|08-05~0,0,3,3 2026-08~0,0,9,9 08-11~0,0,1,1 08-13~0,0,2,2 all~0,0,9,9 08-12~0,0,2,2
B|107031733_505199|08-16~0,0,1,1 08-17~0,0,1,0 2026-08~0,0,10,9 all~0,0,10,9 08-11~0,0,7,0 08-12~0,0,1,0
B|107032737_505202|08-08~0,0,2,0 2026-08~0,0,10,3 all~0,0,10,3 08-07~0,0,1,0 08-06~0,0,5,1
B|107033248_505275|08-11~0,0,13,12 08-10~0,0,5,4 all~0,0,18,17 2026-08~0,0,18,17
B|107046575_505277|08-13~0,0,4,4 2026-08~0,0,13,13 08-10~0,0,1,1 08-11~0,0,2,2 08-07~0,0,4,4 all~0,0,14,14
B|107046658_505299|2026-08~0,0,2,2 08-13~0,0,2,2 all~0,0,2,2
B|107048985_505324|08-08~0,0,2,0 2026-08~0,0,4,0 all~0,0,4,0
B|107049798_505482|08-11~0,0,3,3 08-10~0,0,4,0 all~1,0,7,3 08-17~1,0,0,0 2026-08~1,0,7,3
B|107089546_505564|all~1,0,0,0 08-15~1,0,0,0 2026-08~1,0,0,0
B|107089546_505569|all~0,0,1,1 08-24~0,0,1,1 2026-08~0,0,1,1
B|107092112_505592|all~0,0,19,19 08-12~0,0,7,7 08-13~0,0,7,7 08-11~0,0,1,1 2026-08~0,0,19,19 08-24~0,0,2,2
B|107107614_505828|2026-08~2,0,1,0 08-30~1,0,0,0 all~3,1,1,0 08-19~1,0,1,0 2026-07~1,1,0,0
B|1071078_492126|all~2,1,0,0 07-23~1,0,0,0 2026-07~1,0,0,0
B|107118226_505812|08-21~0,0,5,5 08-18~0,0,5,5 08-15~0,0,9,9 2026-08~0,0,39,39 08-20~0,0,4,4 08-23~0,0,5,5 all~0,0,39,39 08-19~0,0,11,11
B|107147238_506301|2026-08~0,0,2,2 all~0,0,2,2 08-25~0,0,1,1
B|107226450_506730|all~1,1,8,8 08-21~1,1,3,3 2026-08~1,1,7,7 08-25~0,0,1,1 08-27~0,0,1,1
B|107408133_507586|all~0,0,1,0 2026-09M~0,0,1,0 09-02~0,0,1,0 2026-09~0,0,1,0
B|1079226_456659|08-01~1,1,0,0 2026-08~1,1,0,0 2026-08M~1,1,0,0 all~1,1,0,0
B|1101901_492309|2026-07~0,0,1,0 all~0,0,1,0 07-16~0,0,1,0
B|123|2026-05~1,0,1,0 2026-06~1,0,2,0 06-01~1,0,0,0 06-11~0,0,1,0 06-04~1,0,0,0 2026-06M~1,0,1,0 all~2,0,2,0 2026-08~1,0,1,0 06-09~1,0,1,0 06-03~1,0,0,0
B|12345678|2026-09~0,0,1,0 09-01~0,0,1,0 all~0,0,1,0 2026-09M~0,0,1,0
B|123456789|all~0,0,16,0 09-02~0,0,6,0 2026-09~0,0,14,0 08-31~0,0,1,0 2026-09M~0,0,14,0 2026-08~0,0,1,0 09-01~0,0,8,0
B|1614771_442041|all~0,0,1,1 2026-05~0,0,1,1 05-24~0,0,1,1
B|1614771_468849|05-16~1,1,0,0 2026-05~1,1,0,0 all~1,1,0,0
B|16500452_464909|06-06~0,0,1,0 all~0,0,1,0 2026-06~0,0,1,0
B|2116156_271373|2026-08~1,1,3,2 07-24~0,0,1,1 2026-07~3,1,3,3 2026-09M~0,0,1,0 05-31~0,0,1,1 2026-09~0,0,1,0 08-02~0,0,1,1 2026-05~0,0,3,3 06-12~0,0,1,1 06-05~0,0,1,0 06-23~0,0,1,1 07-20~1,0,0,0 2026-06~2,0,4,3 07-22~0,0,1,1 08-28~1,1,1,0 07-07~1,0,0,0 2026-07M~1,1,0,0 2026-08M~0,0,1,1 07-05~0,0,1,1 09-01~0,0,1,0 07-01~1,1,0,0 06-27~1,0,0,0 05-25~0,0,2,2 all~6,2,17,13
B|2394347_489462|06-17~0,0,1,1 05-16~0,0,1,1 2026-06~1,1,2,2 2026-08~0,0,1,1 all~3,1,4,4 2026-05~0,0,1,1 2026-07~1,0,0,0 08-23~0,0,1,1 06-19~0,0,1,1 07-27~1,0,0,0
B|2394347_489468|2026-07~0,0,1,1 all~0,0,1,1 07-10~0,0,1,1
B|2595863_501102|all~3,2,0,0 07-14~1,1,0,0 2026-07~3,2,0,0 07-10~1,1,0,0 07-17~1,0,0,0
B|2595863_70364|07-20~1,1,0,0 2026-07~1,1,0,0 all~1,1,1,0 2026-08~0,0,1,0
B|26630718_480411|2026-05~1,0,0,0 05-19~1,0,0,0 2026-08~1,1,0,0 2026-06~0,0,1,0 08-21~1,1,0,0 06-20~0,0,1,0 all~2,1,1,0
B|2728374_467046|all~0,0,2,2 2026-06~0,0,1,1
B|2728374_493008|all~0,0,6,6 2026-06~0,0,3,3 05-23~0,0,1,1 06-08~0,0,1,1 2026-05~0,0,1,1 07-13~0,0,1,1 2026-07~0,0,2,2 06-18~0,0,1,1
B|3047183_500901|2026-09M~1,0,0,0 09-01~1,0,0,0 08-26~1,0,0,0 2026-09~1,0,0,0 08-31~0,0,1,0 08-06~1,0,0,0 all~11,3,7,3 07-26~0,0,1,0 07-27~1,1,0,0 07-13~1,0,0,0 08-25~0,0,1,0 08-23~1,1,1,0 2026-08~3,1,5,2 07-06~0,0,1,1 07-28~1,0,0,0 07-19~3,1,0,0 2026-07~7,2,2,1
B|3061114_403385|2026-08~0,0,1,1 all~0,0,2,1 2026-07~0,0,1,0 07-11~0,0,1,0
B|3061114_478516|all~1,1,0,0
B|3061114_498156|2026-07~1,0,0,0 07-23~1,0,0,0 2026-06~1,0,0,0 all~2,0,0,0 06-25~1,0,0,0
B|3130140_432851|all~0,0,2,0 2026-06~0,0,1,0 2026-05~0,0,1,0 06-05~0,0,1,0 05-30~0,0,1,0
B|3173166_177039|all~0,0,1,0 05-27~0,0,1,0 2026-05~0,0,1,0
B|3173166_269591|all~0,0,2,0 2026-07~0,0,1,0
B|3173166_269592|2026-07~0,0,1,0 07-09~0,0,1,0 2026-05~0,0,1,0 all~0,0,3,0 05-17~0,0,1,0 2026-06~0,0,1,0 06-10~0,0,1,0
B|3173166_269593|all~0,0,1,1 2026-06~0,0,1,1
B|3173166_282592|all~0,0,1,0 06-09~0,0,1,0 2026-06~0,0,1,0
B|3173166_386190|all~0,0,1,0 2026-05~0,0,1,0 05-21~0,0,1,0
B|3173166_465448|2026-05~0,0,1,0 all~0,0,1,0 05-14~0,0,1,0
B|3173166_484043|06-18~1,0,0,0 05-13~1,0,1,0 2026-06~1,0,1,0 06-07~0,0,1,0 2026-05~3,0,2,0 05-25~0,0,1,0 all~4,0,4,0 08-29~0,0,1,0 05-15~1,0,0,0 05-22~1,0,0,0 2026-08~0,0,1,0
B|3173166_498523|07-11~1,0,0,0 2026-07~3,0,0,0 all~3,0,0,0 07-04~1,0,0,0 07-10~1,0,0,0
B|3173166_89238|2026-07M~0,0,1,0 08-13~0,0,1,0 2026-08~0,0,1,0 2026-07~0,0,1,0 2026-05~0,0,2,1 07-01~0,0,1,0 05-30~0,0,1,0 all~0,0,4,1
B|3849227_279402|2026-06~0,0,1,1 all~1,1,2,2
B|3933097_372799|2026-05~0,0,1,0 05-20~0,0,1,0 all~0,0,1,0
B|3933097_397335|2026-06~0,0,1,1 all~0,0,1,1
B|3933097_397337|07-30~0,0,1,0 all~0,0,4,1 2026-07~0,0,3,1 2026-08~0,0,1,0 08-22~0,0,1,0 07-04~0,0,1,0
B|3933097_401223|06-21~0,0,1,0 2026-06~1,1,3,1 2026-07~0,0,1,1 08-18~0,0,1,0 06-20~1,1,0,0 2026-08~1,0,1,1 06-27~0,0,1,0 all~3,2,5,4
B|3933097_401935|all~0,0,4,1 2026-08~0,0,1,0 07-12~0,0,1,0 2026-07~0,0,1,0 2026-06~0,0,1,0 06-26~0,0,1,0
B|3933097_401936|06-26~0,0,1,0 2026-06~0,0,8,0 07-27~1,0,1,0 06-25~0,0,1,0 06-12~0,0,1,0 07-16~0,0,1,0 06-27~0,0,1,0 all~1,0,18,0 07-11~0,0,1,0 07-09~0,0,1,0 06-23~0,0,1,0 2026-07M~0,0,1,0 07-19~0,0,1,0 05-19~0,0,1,0 06-15~0,0,1,0 2026-07~1,0,7,0 2026-05~0,0,1,0 07-01~0,0,1,0
B|3933097_470876|all~0,0,1,1 07-01~0,0,1,0 2026-08~0,0,1,1 2026-07M~0,0,1,1 2026-07~0,0,1,1
B|3933097_492163|2026-06~2,1,0,0 2026-07~2,1,1,0 2026-05~1,0,1,0 07-13~1,0,0,0 all~7,2,5,3 07-28~0,0,1,0 08-01~1,0,0,0 08-27~0,0,1,1 2026-08M~1,0,1,1 06-03~1,0,0,0 08-02~0,0,1,1 07-02~1,1,0,0 2026-07M~1,1,0,0 2026-08~2,0,3,3 08-22~1,0,0,0 05-19~1,0,1,0
B|3933097_492350|06-08~0,0,1,0 08-21~1,1,0,0 06-15~1,0,1,0 2026-06~6,5,9,3 06-07~0,0,1,0 05-24~1,1,0,0 06-30~2,2,1,1 2026-09~0,0,1,1 07-12~0,0,1,1 2026-07M~0,0,1,1 06-05~1,1,1,0 2026-08~3,1,4,2 all~15,10,25,14 08-06~0,0,1,1 2026-05~3,2,3,2 06-22~0,0,1,0 2026-09M~0,0,1,1 2026-07~1,0,5,3 08-10~0,0,1,0 09-01~0,0,1,1 08-23~1,0,1,0 07-31~0,0,1,1 07-24~0,0,1,0 08-03~1,0,0,0 05-26~1,0,1,0 06-13~1,1,0,0 07-01~0,0,1,1
B|3933097_492352|all~1,1,0,0 2026-05~1,1,0,0 05-20~1,1,0,0
B|3933097_492353|all~1,1,1,0 08-07~1,1,0,0 08-09~0,0,1,0 2026-08~1,1,1,0
B|3933097_492362|2026-06~0,0,1,0 all~0,0,1,0 06-16~0,0,1,0
B|44075378_454611|2026-05~0,0,4,0 05-28~0,0,1,0 2026-06~0,0,2,0 05-25~0,0,1,0 05-31~0,0,1,0 06-17~0,0,1,0 06-10~0,0,1,0 05-16~0,0,1,0 all~0,0,6,0
B|44316114_491904|all~0,0,1,1 2026-06~0,0,1,1
B|5046570_493854|all~0,0,1,0
B|5046570_497042|07-18~0,0,1,0 2026-06M~0,0,1,1 2026-08~0,0,2,0 all~1,1,6,1 2026-07~1,1,2,0 07-29~1,1,0,0 2026-06~0,0,2,1 06-02~0,0,1,1 08-22~0,0,1,0 07-12~0,0,1,0 06-26~0,0,1,0
B|5281392_425886|06-08~0,0,1,1 all~0,0,7,7 2026-05~0,0,1,1 08-30~0,0,1,0 2026-06~0,0,3,3 05-22~0,0,1,1 2026-08~0,0,3,3 06-30~0,0,1,1 06-13~0,0,1,1 08-12~0,0,1,1 08-07~0,0,1,1
B|5281392_459651|07-09~1,1,0,0 2026-07~2,2,1,0 07-22~0,0,1,0 all~2,2,1,0 07-01~1,1,0,0 2026-07M~1,1,0,0
B|5281392_466844|05-22~1,1,1,0 2026-08~1,1,2,2 all~10,8,11,9 06-25~1,0,2,2 05-16~1,1,0,0 2026-06~1,0,3,3 07-14~1,1,0,0 06-09~0,0,1,1 05-15~1,1,0,0 2026-05~7,5,4,2 05-19~1,1,0,0 05-14~0,0,1,1 08-22~1,1,0,0 05-20~2,1,0,0 05-21~1,0,0,0 2026-07~1,1,0,0
B|53105926_479490|06-23~0,0,1,0 08-05~0,0,1,1 05-21~0,0,1,0 2026-07~1,0,2,2 07-29~1,0,0,0 08-19~1,0,0,0 07-07~0,0,1,1 all~5,1,9,6 06-12~1,0,0,0 08-13~0,0,1,1 2026-05~0,0,1,0 07-13~0,0,1,1 08-09~1,0,0,0 2026-06~1,1,2,1 08-03~0,0,1,1 2026-08~3,0,3,3
B|5885261_500855|08-29~1,1,1,0 08-01~1,0,0,0 2026-09~1,1,4,0 2026-08M~1,0,0,0 08-30~1,1,1,0 08-19~0,0,1,0 09-01~1,1,2,0 2026-08~17,9,7,0 07-04~1,0,0,0 08-08~1,0,1,0 09-02~0,0,2,0 all~20,10,12,0 08-31~2,0,0,0 08-25~1,0,0,0 08-07~2,2,1,0 08-16~1,1,0,0 08-11~1,0,0,0 08-28~1,0,0,0 08-20~1,1,0,0 07-31~1,0,0,0 2026-09M~1,1,4,0 08-06~2,1,0,0 08-13~0,0,1,0 08-03~1,1,0,0 2026-07~2,0,1,0 07-30~0,0,1,0
B|60705687_484316|2026-06~1,0,8,7 05-29~0,0,1,1 05-28~1,0,0,0 2026-07~1,1,2,1 07-09~0,0,1,0 2026-05~2,1,4,3 05-19~0,0,1,1 05-13~1,1,0,0 06-28~0,0,1,0 06-27~0,0,1,1 05-24~0,0,1,1 all~4,2,15,12 06-02~0,0,1,1 06-13~0,0,1,1 06-10~0,0,2,2 07-16~1,1,1,1 2026-06M~0,0,1,1 06-21~1,0,1,1
B|60705687_502835|07-17~1,1,0,0 2026-08~3,2,1,0 2026-08M~0,0,1,0 2026-07~2,2,1,1 07-24~0,0,1,1 all~5,4,2,1 07-30~1,1,0,0 08-01~0,0,1,0 08-16~1,0,0,0 08-03~1,1,0,0
B|60705687_502839|2026-08~0,0,1,1 08-29~0,0,1,1 all~0,0,1,1
B|60791487_337537|2026-07~0,0,2,2 07-09~0,0,1,1 all~0,0,2,2 07-11~0,0,1,1
B|6093607_117957|2026-06~0,0,1,0 06-19~0,0,1,0 all~0,0,1,0
B|61014914_482306|all~3,0,2,1 05-29~0,0,1,1 2026-07~2,0,1,0 2026-05~0,0,1,1 07-03~2,0,1,0
B|61014914_496847|2026-06~1,0,2,1 2026-07M~0,0,1,1 2026-07~0,0,1,1 06-17~1,0,0,0 06-03~0,0,1,0 all~2,0,3,2 07-01~0,0,1,1 06-19~0,0,1,1
B|6437456_121214|2026-08~1,1,0,0 all~1,1,0,0 08-01~1,1,0,0 2026-08M~1,1,0,0
B|6868939_443884|all~1,0,1,1 2026-08~1,0,0,0 06-10~0,0,1,1 2026-06~1,0,1,1 2026-07~1,0,1,1 06-12~1,0,0,0
B|6934353_129197|08-09~0,0,1,0 2026-08~0,0,1,0 06-14~0,0,1,0 2026-06~0,0,1,0 all~0,0,2,0
B|72243762_361318|all~1,0,4,0 2026-06~0,0,1,0 07-06~0,0,1,0 2026-08~0,0,1,0 2026-07~0,0,1,0 08-15~0,0,1,0
B|72243762_407829|07-11~1,0,0,0 all~1,0,0,0 2026-07~1,0,0,0
B|72243762_463534|05-20~0,0,1,0 2026-06~0,0,1,0 all~0,0,3,1 05-14~0,0,1,1 2026-05~0,0,2,1
B|753847_278323|2026-06~0,0,2,1 06-08~0,0,1,0 all~0,0,2,1 06-10~0,0,1,1
B|753848_268626|2026-06~1,0,1,0 06-10~1,0,0,0 all~1,0,1,0 06-07~0,0,1,0
B|753856_442532|05-15~1,0,0,0 all~1,1,1,1 2026-05~1,1,1,1
B|753856_495382|all~3,2,2,2 06-20~0,0,1,1 2026-05~1,0,0,0 2026-07~1,1,0,0 05-28~1,0,0,0 2026-06~1,1,1,1 06-14~1,1,0,0
B|753856_495386|07-03~1,1,0,0 2026-09~1,0,0,0 06-20~2,2,0,0 08-13~1,0,1,1 2026-06~4,3,1,0 09-02~1,0,0,0 2026-08~4,3,3,2 2026-07~3,3,0,0 08-15~1,1,1,0 08-17~1,1,0,0 06-24~1,1,0,0 2026-06M~0,0,1,0 06-19~1,0,0,0 2026-09M~1,0,0,0 08-11~1,1,0,0 06-01~0,0,1,0 all~12,9,4,2 07-07~1,1,0,0
B|753856_502844|all~2,0,3,0 2026-07~2,0,3,0 07-23~2,0,2,0
B|753874_29800|2026-06~1,0,0,0 06-14~1,0,0,0 all~1,0,0,0
B|753874_32178|all~0,0,1,1 2026-07~0,0,1,1 07-24~0,0,1,1
B|753874_466721|all~0,0,1,1 2026-08~0,0,1,1 08-27~0,0,1,1
B|7757744_389986|2026-08~0,0,1,0 08-31~0,0,1,0 07-27~0,0,1,0 all~0,0,3,1 2026-07~0,0,1,0 2026-06~0,0,1,1
B|791993_485776|2026-08~0,0,1,0 2026-07~0,0,1,1 07-01~0,0,1,1 2026-07M~0,0,1,1 all~0,0,2,1
B|81770295_495769|2026-05~0,0,1,0 05-27~0,0,1,0 all~0,0,1,0
B|81770295_497246|06-24~0,0,1,1 2026-07~1,0,1,1 2026-06~2,1,2,1 06-25~1,1,0,0 2026-05~1,0,1,1 2026-08~1,0,1,0 06-12~1,0,0,0 all~2,1,2,1
B|830116_412788|all~2,1,6,1 2026-06~0,0,1,0 05-15~0,0,1,0 05-23~0,0,1,0 06-09~0,0,1,0 05-25~0,0,2,0 2026-05~0,0,4,0
B|839237_112672|2026-06~1,1,0,0 all~1,1,1,0 2026-05~0,0,1,0 05-16~0,0,1,0 06-05~1,1,0,0
B|846258_498158|06-09~0,0,1,0 all~0,0,2,0 06-27~0,0,1,0 2026-06~0,0,2,0
