country|packed
Germany|fortunejack.com~2026-08~26994,1393,52,33,7,4,3,10,4 blockchainwelt.de~2026-06~4,3,1,1,0,0,0,0,0 request-global.czilladx.com~2026-05~16,6,0,0,0,0,0,0,0 rt.pornhub.com~2026-08~16,3,0,0,0,0,0,0,0 $direct~2026-09~84,35,2,2,0,0,0,0,0 instagram.com~2026-06~17,8,2,0,0,0,0,0,0 at.casino.online~2026-07~4,0,0,0,0,0,0,0,0 onlinegames-de.store~2026-08~4,3,2,1,1,1,1,0,0 fortunejack.com~2026-05~138,7,0,0,0,0,0,0,0 instagram.com~2026-05~7,0,0,0,0,0,0,0,0 fortunejack.com~2026-06~153,29,22,13,3,2,2,2,1 www.you-porn.com~2026-08~12,3,0,0,0,0,0,0,0 www.slotozilla.com~2026-06~3,0,0,0,0,0,0,0,0 l.facebook.com~2026-07~663,0,0,0,0,0,0,0,0 rt.pornhub.org~2026-08~24,4,0,0,0,0,0,0,0 www.google.com~2026-08~15,1,1,0,0,0,0,0,0 keitaro.fortunejack.com~2026-05~3,0,0,0,0,0,0,0,0 $direct~2026-08~173,38,16,9,0,0,0,4,0 bitcoincasinoslist.com~2026-07~3,0,0,0,0,0,0,0,0 www.google.com~2026-07~21,1,1,1,1,0,0,1,1 $direct~2026-05~214,9,0,0,0,0,0,0,0 url8039.fortunejack.com~2026-09~3,0,0,0,0,0,0,0,0 it.pornhub.com~2026-08~3,1,0,0,0,0,0,0,0 l.facebook.com~2026-05~10,0,0,0,0,0,0,0,0 www.google.com~2026-09~17,2,1,1,0,0,0,0,0 cdn.bmcdn6.com~2026-05~14,0,0,0,0,0,0,0,0 m.facebook.com~2026-08~8,1,1,0,0,0,0,0,0 blockchainwelt.de~2026-05~4,2,0,0,0,0,0,0,0 nostrabet.com~2026-05~3,2,0,0,0,0,0,0,0 m.facebook.com~2026-06~16,2,1,1,0,0,0,0,0 $direct~2026-07~125,4,2,1,0,0,0,0,0 com.google.android.gm~2026-07~12,0,0,0,0,0,0,0,0 de.pornhub.org~2026-08~96,28,2,1,0,0,0,0,0 m.facebook.com~2026-07~26,1,1,0,0,0,0,0,0 www.google.com~2026-06~18,0,0,0,0,0,0,0,0 onlinegames-de.quest~2026-08~3,1,1,0,0,0,0,0,0 tracker-pm2.fortunejackpartners.com~2026-07~4,1,0,0,0,0,0,0,0 l.facebook.com~2026-09~3,0,0,0,0,0,0,0,0 klrtspet.net~2026-08~16,2,0,0,0,0,0,0,0 www.25bahisno1.com~2026-07~3,0,0,0,0,0,0,0,0 m.facebook.com~2026-05~16,0,0,0,0,0,0,0,0 de.redtube.com~2026-08~3,2,0,0,0,0,0,0,0 pl.pornhub.com~2026-08~3,2,0,0,0,0,0,0,0 www.pornhub.org~2026-08~10,0,0,0,0,0,0,0,0 at.casino.online~2026-06~4,1,1,0,0,0,0,0,0 com.google.android.gm~2026-08~3,1,0,0,0,0,0,0,0 url8039.fortunejack.com~2026-07~3,0,0,0,0,0,0,0,0 com.google.android.gm~2026-05~5,0,0,0,0,0,0,0,0 tracker-pm2.fortunejackpartners.com~2026-06~14,7,3,2,0,0,0,0,0 fr.pornhub.org~2026-08~3,0,0,0,0,0,0,0,0 fortunejack.com~2026-09~196,38,13,4,2,2,1,0,0 com.google.android.gm~2026-09~4,1,1,1,0,0,0,0,0 l.facebook.com~2026-06~6,2,1,0,0,0,0,0,0 gameheavenmax.shop~2026-08~9,9,3,2,0,0,0,1,0 osacea.com~2026-07~184,34,0,0,0,0,0,0,0 www.google.com~2026-05~21,4,0,0,0,0,0,0,0 www.youporn.com~2026-08~41,9,0,0,0,0,0,0,0 l.facebook.com~2026-08~4,1,1,0,0,0,0,0,0 url8039.fortunejack.com~2026-08~5,1,0,0,0,0,0,0,0 www.pornhub.com~2026-08~158,53,0,0,0,0,0,0,0 fortunejack.com~2026-07~334,34,18,10,1,3,1,4,0 com.google.android.gm~2026-06~16,0,0,0,0,0,0,0,0 zieweh.com~2026-07~18,1,0,0,0,0,0,0,0 $direct~2026-06~126,15,3,1,0,1,0,0,0 cdn.bmcdn5.com~2026-05~9,0,0,0,0,0,0,0,0
Ghana|fortunejack.com~2026-07~4,1,0,0,0,0,0,0,0 $direct~2026-05~5,2,0,0,0,0,0,0,0 $direct~2026-08~3,1,1,1,0,0,0,0,0 t.co~2026-08~3,0,0,0,0,0,0,0,0 $direct~2026-07~4,0,0,0,0,0,0,0,0
Greece|l.facebook.com~2026-07~4,0,0,0,0,0,0,0,0 fortunejack.com~2026-08~10,0,0,0,0,0,0,0,0 $direct~2026-09~12,1,0,0,0,0,0,0,0 $direct~2026-06~11,0,0,0,0,0,0,0,0 fortunejack.com~2026-07~9,1,0,0,0,0,0,0,0 $direct~2026-07~4,1,1,0,0,0,0,0,0 www.google.com~2026-05~3,1,0,0,0,0,0,0,0 $direct~2026-08~3,0,0,0,0,0,0,0,0 fortunejack.com~2026-09~11,1,0,0,0,0,0,0,0 www.google.com~2026-07~3,0,0,0,0,0,0,0,0
Guyana|m.facebook.com~2026-08~3,2,0,0,0,0,0,0,0 fortunejack.com~2026-08~4,3,0,0,0,0,0,0,0
Hong Kong|fortunejack.com~2026-07~14,3,1,0,0,0,0,0,0 $direct~2026-09~6,0,0,0,0,0,0,0,0 $direct~2026-05~8,0,0,0,0,0,0,0,0 $direct~2026-06~7,2,2,1,0,0,0,0,0 fortunejack.com~2026-06~8,1,0,0,0,0,0,0,0 fortunejack.com~2026-08~20,1,1,1,0,0,0,0,0 fortunejack.com~2026-05~7,0,0,0,0,0,0,0,0 fortunejack.com~2026-09~44,3,1,0,0,0,0,0,0 $direct~2026-07~6,0,0,0,0,0,0,0,0
Hungary|l.facebook.com~2026-08~15,1,0,0,0,0,0,0,0 www.google.com~2026-09~7,0,0,0,0,0,0,0,0 $direct~2026-09~32,0,0,0,0,0,0,0,0 fortunejack.com~2026-06~43,3,0,0,0,0,0,0,0 www.google.com~2026-08~7,0,0,0,0,0,0,0,0 $direct~2026-06~43,1,0,0,0,0,0,0,0 com.google.android.gm~2026-05~4,0,0,0,0,0,0,0,0 www.google.com~2026-07~7,1,1,1,1,0,0,0,0 fortunejack.com~2026-07~96,3,1,1,0,0,0,0,0 $direct~2026-07~38,0,0,0,0,0,0,0,0 www.google.com~2026-06~9,0,0,0,0,0,0,0,0 m.facebook.com~2026-07~10,3,2,2,0,0,0,1,0 fortunejack.com~2026-05~29,3,0,0,0,0,0,0,0 com.google.android.gm~2026-06~5,1,1,1,0,0,0,0,0 fortunejack.com~2026-08~57,7,4,1,0,0,0,1,0 $direct~2026-05~38,3,0,0,0,0,0,0,0 www.google.com~2026-05~9,2,0,0,0,0,0,0,0 m.facebook.com~2026-08~7,2,2,1,0,0,0,1,0 com.google.android.gm~2026-07~6,0,0,0,0,0,0,0,0 l.facebook.com~2026-07~140,3,1,1,0,0,0,1,0 m.facebook.com~2026-06~6,1,0,0,0,0,0,0,0 instagram.com~2026-06~4,1,1,0,0,0,0,0,0 $direct~2026-08~27,1,1,1,0,0,0,0,0 fortunejack.com~2026-09~62,6,5,1,0,0,0,0,0
Iceland|$direct~2026-09~3,0,0,0,0,0,0,0,0 $direct~2026-07~3,0,0,0,0,0,0,0,0 $direct~2026-05~3,0,0,0,0,0,0,0,0 $direct~2026-08~3,0,0,0,0,0,0,0,0
India|$direct~2026-06~8,0,0,0,0,0,0,0,0 fortunejack.com~2026-07~8,0,0,0,0,0,0,0,0 fortunejack.com~2026-09~26,2,1,0,0,0,0,0,0 $direct~2026-05~9,0,0,0,0,0,0,0,0 fortunejack.com~2026-06~4,0,0,0,0,0,0,0,0 fortunejack.com~2026-08~9,1,1,1,0,0,0,0,0 $direct~2026-08~3,0,0,0,0,0,0,0,0 www.google.com~2026-09~3,0,0,0,0,0,0,0,0 $direct~2026-09~6,0,0,0,0,0,0,0,0 fortunejack.com~2026-05~5,0,0,0,0,0,0,0,0
Indonesia|www.google.com~2026-06~8,1,1,0,0,0,0,0,0 $direct~2026-06~19,3,3,0,0,0,0,0,0 $direct~2026-07~3,0,0,0,0,0,0,0,0 com.google.android.gm~2026-06~8,0,0,0,0,0,0,0,0 fortunejack.com~2026-06~10,1,1,0,0,0,0,0,0 t.co~2026-06~23,6,6,0,0,0,0,0,0 $direct~2026-05~10,0,0,0,0,0,0,0,0 fortunejack.com~2026-09~13,1,0,0,0,0,0,0,0 indonesia-bonusesfinder.com~2026-05~3,2,0,0,0,0,0,0,0 $direct~2026-09~9,0,0,0,0,0,0,0,0 fortunejack.com~2026-05~3,0,0,0,0,0,0,0,0
Iraq|$direct~2026-07~3,1,0,0,0,0,0,0,0 fortunejack.com~2026-08~30,1,0,0,0,0,0,0,0
Ireland|fortunejack.com~2026-08~25,2,1,1,0,1,0,0,0 com.google.android.gm~2026-08~3,0,0,0,0,0,0,0,0 com.google.android.gm~2026-09~3,0,0,0,0,0,0,0,0 $direct~2026-05~296,1,0,0,0,0,0,0,0 fortunejack.com~2026-07~31,2,1,1,1,0,0,0,0 $direct~2026-06~12,0,0,0,0,0,0,0,0 com.google.android.gm~2026-06~9,0,0,0,0,0,0,0,0 $direct~2026-09~12,0,0,0,0,0,0,0,0 com.google.android.gm~2026-07~4,0,0,0,0,0,0,0,0 m.facebook.com~2026-05~9,1,0,0,0,0,0,0,0 $direct~2026-07~9,1,0,0,0,0,0,0,0 $direct~2026-08~9,0,0,0,0,0,0,0,0 www.google.com~2026-06~3,1,1,1,0,0,0,0,0 fortunejack.com~2026-09~20,1,0,0,0,0,0,0,0 fortunejack.com~2026-06~141,2,0,0,0,0,0,0,0 www.facebook.com~2026-05~3,0,0,0,0,0,0,0,0 fortunejack.com~2026-05~116,1,0,0,0,0,0,0,0
Israel|$direct~2026-07~19,0,0,0,0,0,0,0,0 $direct~2026-05~10,1,0,0,0,0,0,0,0 www.google.com~2026-06~4,0,0,0,0,0,0,0,0 www.google.com~2026-07~4,0,0,0,0,0,0,0,0 fortunejack.com~2026-06~12,0,0,0,0,0,0,0,0 $direct~2026-09~18,1,1,0,0,0,0,0,0 com.google.android.gm~2026-09~4,0,0,0,0,0,0,0,0 $direct~2026-06~12,0,0,0,0,0,0,0,0 com.google.android.gm~2026-06~14,0,0,0,0,0,0,0,0 com.google.android.gm~2026-07~10,0,0,0,0,0,0,0,0 fortunejack.com~2026-09~119,7,3,3,2,0,0,1,1 $direct~2026-08~13,0,0,0,0,0,0,0,0 fortunejack.com~2026-05~5,0,0,0,0,0,0,0,0 fortunejack.com~2026-08~11,1,1,1,0,0,0,0,0 www.google.com~2026-09~3,0,0,0,0,0,0,0,0 fortunejack.com~2026-07~13,1,1,1,1,0,0,1,1
Italy|$direct~2026-05~9,0,0,0,0,0,0,0,0 fortunejack.com~2026-07~18,2,0,0,0,0,0,0,0 l.facebook.com~2026-07~3,0,0,0,0,0,0,0,0 $direct~2026-09~5,1,1,1,1,1,1,0,0 fortunejack.com~2026-05~5,1,0,0,0,0,0,0,0 fortunejack.com~2026-06~14,1,0,0,0,0,0,0,0 fortunejack.com~2026-09~20,1,1,0,0,0,0,0,0 $direct~2026-07~3,0,0,0,0,0,0,0,0 fortunejack.com~2026-08~69,4,2,1,0,0,0,0,0 $direct~2026-08~4,0,0,0,0,0,0,0,0
Ivory Coast|$direct~2026-07~3,0,0,0,0,0,0,0,0 fortunejack.com~2026-05~3,0,0,0,0,0,0,0,0 $direct~2026-05~7,0,0,0,0,0,0,0,0 fortunejack.com~2026-06~4,0,0,0,0,0,0,0,0 fortunejack.com~2026-08~4,0,0,0,0,0,0,0,0 fortunejack.com~2026-07~3,1,1,0,0,0,0,0,0
Japan|$direct~2026-05~18,0,0,0,0,0,0,0,0 $direct~2026-09~10,0,0,0,0,0,0,0,0 $direct~2026-07~12,0,0,0,0,0,0,0,0 fortunejack.com~2026-05~18,1,0,0,0,0,0,0,0 fortunejack.com~2026-07~36,3,2,0,0,0,0,0,0 $direct~2026-08~12,0,0,0,0,0,0,0,0 $direct~2026-06~12,1,1,0,0,0,0,0,0 fortunejack.com~2026-08~43,3,0,0,0,0,0,0,0 fortunejack.com~2026-09~32,4,1,1,0,0,0,0,0 fortunejack.com~2026-06~25,3,3,3,1,0,0,1,0 com.google.android.gm~2026-06~3,0,0,0,0,0,0,0,0
Jordan|fortunejack.com~2026-08~12,1,0,0,0,0,0,0,0
Kazakhstan|fortunejack.com~2026-09~4,0,0,0,0,0,0,0,0 fortunejack.com~2026-08~10,0,0,0,0,0,0,0,0
Kenya|www.google.com~2026-09~4,0,0,0,0,0,0,0,0 $direct~2026-06~4,0,0,0,0,0,0,0,0 www.google.com~2026-07~3,0,0,0,0,0,0,0,0 fortunejack.com~2026-05~6,0,0,0,0,0,0,0,0 fortunejack.com~2026-06~4,0,0,0,0,0,0,0,0 www.google.com~2026-08~4,0,0,0,0,0,0,0,0 $direct~2026-05~14,0,0,0,0,0,0,0,0 $direct~2026-09~3,0,0,0,0,0,0,0,0 t.co~2026-06~3,1,1,0,0,0,0,0,0 fortunejack.com~2026-09~3,1,0,0,0,0,0,0,0 $direct~2026-08~3,0,0,0,0,0,0,0,0 fortunejack.com~2026-07~6,1,1,0,0,0,0,0,0 www.google.com~2026-05~4,1,0,0,0,0,0,0,0 $direct~2026-07~10,1,1,1,0,0,0,0,0 fortunejack.com~2026-08~6,1,1,0,0,0,0,0,0 www.google.com~2026-06~8,2,2,2,0,0,0,0,0
Kosovo|fortunejack.com~2026-07~6,1,0,0,0,0,0,0,0 $direct~2026-05~4,0,0,0,0,0,0,0,0 l.facebook.com~2026-07~4,0,0,0,0,0,0,0,0 www.google.com~2026-05~4,0,0,0,0,0,0,0,0 $direct~2026-07~5,0,0,0,0,0,0,0,0 $direct~2026-09~4,0,0,0,0,0,0,0,0 $direct~2026-06~7,0,0,0,0,0,0,0,0 $direct~2026-08~3,0,0,0,0,0,0,0,0
Kuwait|m.facebook.com~2026-07~17,0,0,0,0,0,0,0,0 fortunejack.com~2026-07~12,1,1,0,0,0,0,0,0 fortunejack.com~2026-05~3,0,0,0,0,0,0,0,0 l.facebook.com~2026-07~4,0,0,0,0,0,0,0,0 fortunejack.com~2026-08~7,0,0,0,0,0,0,0,0 fortunejack.com~2026-06~3,1,1,0,0,0,0,0,0
Kyrgyzstan|fortunejack.com~2026-08~10,0,0,0,0,0,0,0,0
Laos|$direct~2026-05~4,0,0,0,0,0,0,0,0 $direct~2026-07~3,0,0,0,0,0,0,0,0 fortunejack.com~2026-08~4,0,0,0,0,0,0,0,0 fortunejack.com~2026-09~8,1,1,0,0,0,0,0,0 fortunejack.com~2026-07~6,1,1,1,0,0,0,0,0
Latvia|fortunejack.com~2026-05~5,0,0,0,0,0,0,0,0 www.google.com~2026-07~3,0,0,0,0,0,0,0,0 $direct~2026-06~11,1,1,1,1,0,0,1,1 fortunejack.com~2026-09~4,0,0,0,0,0,0,0,0 www.google.com~2026-06~3,0,0,0,0,0,0,0,0 fortunejack.com~2026-08~14,0,0,0,0,0,0,0,0 fortunejack.com~2026-07~8,2,0,0,0,0,0,0,0 fortunejack.com~2026-06~4,0,0,0,0,0,0,0,0 www.allhockey365.com~2026-09~3,0,0,0,0,0,0,0,0 $direct~2026-05~5,2,0,0,0,0,0,0,0
Lebanon|fortunejack.com~2026-08~5,1,1,0,0,0,0,0,0 $direct~2026-05~4,0,0,0,0,0,0,0,0 fortunejack.com~2026-05~3,1,0,0,0,0,0,0,0 fortunejack.com~2026-07~10,0,0,0,0,0,0,0,0 fortunejack.com~2026-09~5,2,0,0,0,0,0,0,0
Libya|fortunejack.com~2026-08~5,0,0,0,0,0,0,0,0
Liechtenstein|com.google.android.gm~2026-09~3,0,0,0,0,0,0,0,0
Lithuania|fortunejack.com~2026-07~15,4,2,2,2,2,1,0,0 $direct~2026-06~11,0,0,0,0,0,0,0,0 $direct~2026-05~14,1,0,0,0,0,0,0,0 l.facebook.com~2026-08~7,0,0,0,0,0,0,0,0 m.facebook.com~2026-08~7,1,0,0,0,0,0,0,0 $direct~2026-07~11,1,1,1,0,0,0,1,0 $direct~2026-09~4,0,0,0,0,0,0,0,0 fortunejack.com~2026-06~10,0,0,0,0,0,0,0,0 fortunejack.com~2026-09~14,0,0,0,0,0,0,0,0 fortunejack.com~2026-05~4,0,0,0,0,0,0,0,0 lazybuguru.lt~2026-06~3,1,0,0,0,0,0,0,0 fortunejack.com~2026-08~33,6,3,2,0,0,0,1,0 $direct~2026-08~4,0,0,0,0,0,0,0,0
Luxembourg|www.google.com~2026-06~3,1,1,1,1,0,0,1,1 fortunejack.com~2026-08~5,0,0,0,0,0,0,0,0 $direct~2026-08~3,0,0,0,0,0,0,0,0 $direct~2026-06~4,0,0,0,0,0,0,0,0 fortunejack.com~2026-09~4,1,0,0,0,0,0,0,0 $direct~2026-09~3,0,0,0,0,0,0,0,0 $direct~2026-05~6,1,0,0,0,0,0,0,0 $direct~2026-07~3,0,0,0,0,0,0,0,0 fortunejack.com~2026-07~4,0,0,0,0,0,0,0,0
Malawi|$direct~2026-07~3,0,0,0,0,0,0,0,0 $direct~2026-05~3,0,0,0,0,0,0,0,0 $direct~2026-09~5,0,0,0,0,0,0,0,0 $direct~2026-06~5,0,0,0,0,0,0,0,0
Malaysia|$direct~2026-05~8,1,0,0,0,0,0,0,0 fortunejack.com~2026-08~4,0,0,0,0,0,0,0,0 $direct~2026-09~28,0,0,0,0,0,0,0,0 $direct~2026-06~30,0,0,0,0,0,0,0,0 $direct~2026-08~30,0,0,0,0,0,0,0,0 $direct~2026-07~28,0,0,0,0,0,0,0,0 fortunejack.com~2026-09~6,0,0,0,0,0,0,0,0 fortunejack.com~2026-05~21,0,0,0,0,0,0,0,0 fortunejack.com~2026-07~9,1,1,1,1,0,0,0,0 fortunejack.com~2026-06~4,0,0,0,0,0,0,0,0
Maldives|fortunejack.com~2026-07~3,0,0,0,0,0,0,0,0
Malta|fortunejack.com~2026-07~4,0,0,0,0,0,0,0,0 www.google.com~2026-06~3,0,0,0,0,0,0,0,0 $direct~2026-08~3,1,0,0,0,0,0,0,0 $direct~2026-06~4,1,0,0,0,0,0,0,0 fortunejack.com~2026-06~5,1,0,0,0,0,0,0,0 fortunejack.com~2026-08~4,0,0,0,0,0,0,0,0 $direct~2026-07~3,0,0,0,0,0,0,0,0 fortunejack.com~2026-09~10,3,3,1,1,1,1,0,0
Mexico|$direct~2026-09~7,1,1,1,0,0,0,0,0 www.google.com~2026-06~7,1,0,0,0,0,0,0,0 m.facebook.com~2026-07~4,3,1,0,0,0,0,0,0 com.google.android.gm~2026-06~14,0,0,0,0,0,0,0,0 $direct~2026-05~15,0,0,0,0,0,0,0,0 www.google.com~2026-09~4,2,2,0,0,0,0,0,0 fortunejack.com~2026-08~39,11,5,0,0,0,0,0,0 fortunejack.com~2026-05~16,1,0,0,0,0,0,0,0 fortunejack.com~2026-09~25,1,0,0,0,0,0,0,0 $direct~2026-07~14,0,0,0,0,0,0,0,0 fortunejack.com~2026-07~51,7,6,4,1,0,0,1,0 $direct~2026-08~12,0,0,0,0,0,0,0,0 l.facebook.com~2026-07~7,1,1,0,0,0,0,0,0 www.google.com~2026-07~5,0,0,0,0,0,0,0,0 fortunejack.com~2026-06~23,1,1,0,0,0,0,0,0 $direct~2026-06~22,2,0,0,0,0,0,0,0 www.google.com~2026-08~4,0,0,0,0,0,0,0,0
Moldova|$direct~2026-06~4,1,1,1,0,0,0,0,0 fortunejack.com~2026-08~7,0,0,0,0,0,0,0,0 fortunejack.com~2026-05~3,1,0,0,0,0,0,0,0 fortunejack.com~2026-07~5,1,1,0,0,0,0,0,0 fortunejack.com~2026-06~3,1,0,0,0,0,0,0,0
Morocco|fortunejack.com~2026-08~15,4,1,0,0,0,0,0,0 fortunejack.com~2026-06~11,0,0,0,0,0,0,0,0 $direct~2026-07~8,0,0,0,0,0,0,0,0 fortunejack.com~2026-07~20,6,5,1,1,0,0,0,0 $direct~2026-05~23,7,0,0,0,0,0,0,0 fortunejack.com~2026-05~13,0,0,0,0,0,0,0,0 $direct~2026-08~4,0,0,0,0,0,0,0,0 $direct~2026-09~5,0,0,0,0,0,0,0,0 $direct~2026-06~8,0,0,0,0,0,0,0,0 fortunejack.com~2026-09~14,3,2,1,0,0,0,0,0
Myanmar|fortunejack.com~2026-08~10,0,0,0,0,0,0,0,0 fortunejack.com~2026-07~5,1,0,0,0,0,0,0,0 $direct~2026-07~11,0,0,0,0,0,0,0,0
Namibia|fortunejack.com~2026-07~3,1,1,0,0,0,0,0,0
Netherlands|fortunejack.com~2026-08~10,0,0,0,0,0,0,0,0 $direct~2026-09~9,0,0,0,0,0,0,0,0 $direct~2026-07~8,0,0,0,0,0,0,0,0 fortunejack.com~2026-06~9,0,0,0,0,0,0,0,0 $direct~2026-05~24,4,0,0,0,0,0,0,0 www.google.com~2026-05~6,2,0,0,0,0,0,0,0 com.google.android.gm~2026-05~3,0,0,0,0,0,0,0,0 fortunejack.com~2026-05~12,0,0,0,0,0,0,0,0 fortunejack.com~2026-09~11,0,0,0,0,0,0,0,0 $direct~2026-08~9,0,0,0,0,0,0,0,0 www.google.com~2026-07~3,0,0,0,0,0,0,0,0 $direct~2026-06~10,0,0,0,0,0,0,0,0 fortunejack.com~2026-07~9,0,0,0,0,0,0,0,0 www.google.com~2026-08~3,0,0,0,0,0,0,0,0
New Zealand|fortunejack.com~2026-08~24,1,1,0,0,0,0,0,0 $direct~2026-07~13,0,0,0,0,0,0,0,0 fortunejack.com~2026-09~8,3,3,1,0,0,0,0,0 $direct~2026-06~21,2,2,0,0,0,0,0,0 fortunejack.com~2026-06~14,2,1,1,1,1,1,0,0 $direct~2026-09~9,1,1,1,0,0,0,0,0 $direct~2026-08~11,0,0,0,0,0,0,0,0 fortunejack.com~2026-07~35,4,4,3,0,1,0,0,0 fortunejack.com~2026-05~8,1,0,0,0,0,0,0,0 com.google.android.gm~2026-06~5,0,0,0,0,0,0,0,0 $direct~2026-05~6,2,0,0,0,0,0,0,0
Nigeria|$direct~2026-05~14,0,0,0,0,0,0,0,0 $direct~2026-07~7,1,1,0,0,0,0,0,0 t.co~2026-07~54,31,8,1,0,0,0,0,0 fortunejack.com~2026-09~28,6,1,1,0,0,0,0,0 www.google.com~2026-06~5,1,1,1,0,0,0,0,0 fortunejack.com~2026-05~3,0,0,0,0,0,0,0,0 $direct~2026-06~4,0,0,0,0,0,0,0,0 fortunejack.com~2026-08~43,18,7,3,1,0,0,0,0 m.facebook.com~2026-07~3,3,0,0,0,0,0,0,0 t.co~2026-09~3,0,0,0,0,0,0,0,0 $direct~2026-09~9,4,1,0,0,0,0,0,0 t.co~2026-08~18,11,3,1,0,0,0,0,0 t.co~2026-06~22,14,3,1,0,0,0,0,0 fortunejack.com~2026-06~20,8,2,1,1,0,0,1,1 $direct~2026-08~8,2,0,0,0,0,0,0,0 fortunejack.com~2026-07~74,38,7,1,0,0,0,0,0
North Macedonia|$direct~2026-06~5,2,0,0,0,0,0,0,0 fortunejack.com~2026-06~5,4,0,0,0,0,0,0,0 $direct~2026-07~3,1,0,0,0,0,0,0,0 $direct~2026-05~5,1,0,0,0,0,0,0,0 fortunejack.com~2026-07~7,1,0,0,0,0,0,0,0 fortunejack.com~2026-08~4,2,0,0,0,0,0,0,0 fortunejack.com~2026-05~3,0,0,0,0,0,0,0,0
Norway|l.facebook.com~2026-08~11,0,0,0,0,0,0,0,0 fortunejack.com~2026-05~56,5,0,0,0,0,0,0,0 www.google.com~2026-09~6,0,0,0,0,0,0,0,0 $direct~2026-07~76,2,1,0,0,0,0,0,0 fortunejack.com~2026-09~122,22,3,1,0,0,0,0,0 $direct~2026-05~34,3,0,0,0,0,0,0,0 www.google.com~2026-05~12,2,0,0,0,0,0,0,0 $direct~2026-06~45,6,1,0,0,0,0,0,0 com.google.android.gm~2026-07~3,0,0,0,0,0,0,0,0 m.facebook.com~2026-08~3,0,0,0,0,0,0,0,0 com.google.android.gm~2026-05~4,0,0,0,0,0,0,0,0 $direct~2026-09~36,4,0,0,0,0,0,0,0 url8039.fortunejack.com~2026-08~4,0,0,0,0,0,0,0,0 $direct~2026-08~35,4,3,1,1,0,0,0,0 com.google.android.gm~2026-09~5,0,0,0,0,0,0,0,0 fortunejack.com~2026-07~309,9,4,1,1,0,0,1,1 www.google.com~2026-06~10,0,0,0,0,0,0,0,0 www.oddspodden.com~2026-07~5,1,0,0,0,0,0,0,0 com.google.android.gm~2026-06~6,0,0,0,0,0,0,0,0 www.google.com~2026-08~6,0,0,0,0,0,0,0,0 l.facebook.com~2026-07~12,0,0,0,0,0,0,0,0 www.oddspodden.com~2026-09~10,7,0,0,0,0,0,0,0 fortunejack.com~2026-06~68,8,5,2,2,0,0,0,0 www.google.com~2026-07~9,0,0,0,0,0,0,0,0 fortunejack.com~2026-08~131,17,6,4,2,1,1,1,1
Pakistan|fortunejack.com~2026-09~22,10,3,0,0,0,0,0,0 fortunejack.com~2026-08~22,1,0,0,0,0,0,0,0 www.google.com~2026-06~4,0,0,0,0,0,0,0,0 fortunejack.com~2026-07~9,3,1,0,0,0,0,0,0
Panama|fortunejack.com~2026-05~4,2,0,0,0,0,0,0,0
Paraguay|fortunejack.com~2026-08~8,2,1,1,0,0,0,0,0 l.facebook.com~2026-07~546,2,2,1,0,0,0,0,0 m.facebook.com~2026-07~23,7,4,3,0,1,0,1,0 fortunejack.com~2026-07~26,4,2,2,1,0,0,1,1 instagram.com~2026-07~12,0,0,0,0,0,0,0,0
Peru|fortunejack.com~2026-09~4,1,0,0,0,0,0,0,0 $direct~2026-06~24,10,5,4,0,0,0,0,0 m.facebook.com~2026-07~16,4,3,3,0,0,0,0,0 $direct~2026-08~3,0,0,0,0,0,0,0,0 l.facebook.com~2026-07~106,1,1,1,0,0,0,0,0 fortunejack.com~2026-08~6,0,0,0,0,0,0,0,0 fortunejack.com~2026-06~14,7,5,3,0,0,0,1,0 l.facebook.com~2026-08~5,1,1,1,0,0,0,0,0 tracker-pm2.fortunejackpartners.com~2026-07~6,3,3,2,0,0,0,0,0 $direct~2026-07~6,1,1,0,0,0,0,0,0 $direct~2026-09~4,0,0,0,0,0,0,0,0 keitaro.fortunejack.com~2026-06~4,2,2,0,0,0,0,0,0 m.facebook.com~2026-05~42,5,0,0,0,0,0,0,0 m.facebook.com~2026-06~59,25,14,6,0,0,0,0,0 m.facebook.com~2026-08~4,1,0,0,0,0,0,0,0 $direct~2026-05~17,5,0,0,0,0,0,0,0 l.facebook.com~2026-05~4,0,0,0,0,0,0,0,0 l.facebook.com~2026-06~15,12,8,1,0,0,0,0,0 fortunejack.com~2026-07~24,7,3,0,0,0,0,0,0 instagram.com~2026-05~3,0,0,0,0,0,0,0,0 tracker-pm2.fortunejackpartners.com~2026-06~12,4,3,3,0,0,0,0,0 fortunejack.com~2026-05~3,0,0,0,0,0,0,0,0 com.google.android.gm~2026-06~4,2,0,0,0,0,0,0,0 instagram.com~2026-06~12,2,1,0,0,0,0,0,0 www.google.com~2026-06~6,0,0,0,0,0,0,0,0
Philippines|fortunejack.com~2026-08~11,3,2,0,0,0,0,0,0 $direct~2026-05~6,0,0,0,0,0,0,0,0 $direct~2026-06~4,0,0,0,0,0,0,0,0 fortunejack.com~2026-09~14,1,0,0,0,0,0,0,0 www.google.com~2026-06~3,1,1,0,0,0,0,0,0 t.co~2026-06~7,2,2,0,0,0,0,0,0 fortunejack.com~2026-07~26,7,6,3,0,0,0,0,0 $direct~2026-07~7,0,0,0,0,0,0,0,0 t.co~2026-08~3,2,1,0,0,0,0,0,0 t.co~2026-07~10,3,3,0,0,0,0,0,0 www.google.com~2026-09~3,0,0,0,0,0,0,0,0
