country|packed
Bolivia|m.facebook.com~2026-08~3,2,0,0,0,0,0,0,0 www.google.com~2026-09~4,0,0,0,0,0,0,0,0 fortunejack.com~2026-09~5,1,1,0,0,0,0,0,0 l.facebook.com~2026-08~4,2,0,0,0,0,0,0,0 fortunejack.com~2026-08~8,2,2,2,1,0,0,0,0 fortunejack.com~2026-07~4,1,1,1,0,0,0,0,0 fortunejack.com~2026-06~3,0,0,0,0,0,0,0,0
Bosnia and Herzegovina|www.google.com~2026-05~3,0,0,0,0,0,0,0,0 fortunejack.com~2026-08~37,10,8,4,0,1,0,2,0 com.google.android.gm~2026-06~3,1,1,1,0,0,0,1,0 instagram.com~2026-08~19,5,2,2,0,0,0,0,0 fortunejack.com~2026-05~3,0,0,0,0,0,0,0,0 bosnian-bonusesfinder.com~2026-05~3,0,0,0,0,0,0,0,0 fortunejack.com~2026-07~5,1,1,1,0,0,0,1,0 www.google.com~2026-08~3,0,0,0,0,0,0,0,0 l.facebook.com~2026-08~18,2,2,1,0,0,0,0,0 m.facebook.com~2026-08~24,9,6,6,0,1,0,2,0 keitaro.fortunejack.com~2026-08~10,2,1,1,0,0,0,1,0 $direct~2026-07~8,0,0,0,0,0,0,0,0 www.google.com~2026-06~7,0,0,0,0,0,0,0,0 $direct~2026-08~10,0,0,0,0,0,0,0,0 www.google.com~2026-07~5,0,0,0,0,0,0,0,0 www.google.com~2026-09~3,0,0,0,0,0,0,0,0 $direct~2026-06~10,0,0,0,0,0,0,0,0 $direct~2026-05~14,0,0,0,0,0,0,0,0 fortunejack.com~2026-06~5,1,1,0,0,0,0,0,0 $direct~2026-09~10,1,0,0,0,0,0,0,0
Brazil|it.pornhub.com~2026-08~5,2,0,0,0,0,0,0,0 de.pornhub.com~2026-08~3,1,0,0,0,0,0,0,0 instagram.com~2026-08~7,3,1,1,0,0,0,0,0 fortunejack.com~2026-05~36,3,0,0,0,0,0,0,0 www.google.com~2026-09~13,1,1,1,1,0,0,1,0 fortunejack.com~2026-09~1072,74,10,6,3,1,1,2,0 $direct~2026-06~43,6,3,2,0,0,0,0,0 www.google.com~2026-05~19,5,0,0,0,0,0,0,0 m.facebook.com~2026-08~4,2,0,0,0,0,0,0,0 com.google.android.gm~2026-08~8,0,0,0,0,0,0,0,0 de.pornhub.org~2026-08~3,0,0,0,0,0,0,0,0 www.pornhub.com~2026-08~27,18,0,0,0,0,0,0,0 srt.bitcoin.com~2026-05~3,1,0,0,0,0,0,0,0 $direct~2026-07~46,2,2,0,0,0,0,0,0 br.youporn.com~2026-08~6,4,0,0,0,0,0,0,0 $direct~2026-09~50,2,2,1,0,0,0,0,0 es.pornhub.com~2026-08~29,17,0,0,0,0,0,0,0 fortunejack.com~2026-07~104,19,14,7,5,1,1,0,0 www.google.com~2026-06~13,1,1,0,0,0,0,0,0 $direct~2026-05~75,10,0,0,0,0,0,0,0 pt.pornhub.com~2026-08~2673,1796,2,0,0,0,0,0,0 com.google.android.gm~2026-05~4,1,0,0,0,0,0,0,0 www.tube8.com~2026-08~4,3,0,0,0,0,0,0,0 www.google.com~2026-08~14,0,0,0,0,0,0,0,0 www.redtube.com.br~2026-08~52,22,0,0,0,0,0,0,0 klrtspet.net~2026-08~19,0,0,0,0,0,0,0,0 l.facebook.com~2026-07~8,0,0,0,0,0,0,0,0 fortunejack.com~2026-06~40,2,2,2,2,0,0,1,1 www.google.com~2026-07~19,1,1,0,0,0,0,0,0 $direct~2026-08~224,92,1,1,0,0,0,0,0 fortunejack.com~2026-08~133259,8008,18,10,4,1,0,3,1 com.google.android.gm~2026-07~11,0,0,0,0,0,0,0,0 com.google.android.gm~2026-06~15,0,0,0,0,0,0,0,0 com.google.android.gm~2026-09~3,0,0,0,0,0,0,0,0
Bulgaria|fortunejack.com~2026-06~4,3,1,0,0,0,0,0,0 fortunejack.com~2026-08~17,2,1,1,0,1,0,0,0 $direct~2026-06~7,0,0,0,0,0,0,0,0 $direct~2026-05~5,0,0,0,0,0,0,0,0 $direct~2026-07~3,0,0,0,0,0,0,0,0 $direct~2026-09~3,0,0,0,0,0,0,0,0 fortunejack.com~2026-07~6,0,0,0,0,0,0,0,0 fortunejack.com~2026-09~9,2,1,0,0,0,0,0,0
Cameroon|$direct~2026-05~4,0,0,0,0,0,0,0,0
Canada|$direct~2026-06~70,9,5,2,2,0,0,1,1 m.facebook.com~2026-07~42,1,0,0,0,0,0,0,0 tracker-pm2.fortunejackpartners.com~2026-07~11,0,0,0,0,0,0,0,0 keitaro.fortunejack.com~2026-08~3,0,0,0,0,0,0,0,0 trc.taboola.com~2026-07~4,0,0,0,0,0,0,0,0 t.co~2026-06~3,2,1,1,0,0,0,0,0 keitaro.fortunejack.com~2026-05~4,0,0,0,0,0,0,0,0 fortunejack.com~2026-09~124,13,7,5,2,0,0,1,0 tracker-pm2.fortunejackpartners.com~2026-06~3,0,0,0,0,0,0,0,0 $direct~2026-07~53,0,0,0,0,0,0,0,0 com.google.android.gm~2026-05~5,1,0,0,0,0,0,0,0 $direct~2026-05~76,33,0,0,0,0,0,0,0 l.facebook.com~2026-08~60,1,0,0,0,0,0,0,0 fortunejack.com~2026-08~51307,2218,14,5,0,0,0,0,0 com.google.android.gm~2026-06~16,0,0,0,0,0,0,0,0 www.google.com~2026-07~7,0,0,0,0,0,0,0,0 url8039.fortunejack.com~2026-07~3,0,0,0,0,0,0,0,0 $direct~2026-08~100,12,0,0,0,0,0,0,0 www.google.com~2026-08~3,0,0,0,0,0,0,0,0 m.facebook.com~2026-08~5,1,1,1,0,0,0,0,0 fr.pornhub.com~2026-08~15,6,0,0,0,0,0,0,0 www.google.com~2026-06~9,3,2,2,0,0,0,0,0 fortunejack.com~2026-05~32,3,0,0,0,0,0,0,0 m.facebook.com~2026-05~10,1,0,0,0,0,0,0,0 m.facebook.com~2026-06~5,1,1,1,0,0,0,0,0 fortunejack.com~2026-07~320,14,10,6,1,1,0,1,0 instagram.com~2026-08~3,0,0,0,0,0,0,0,0 instagram.com~2026-05~5,0,0,0,0,0,0,0,0 www.google.com~2026-09~6,1,1,1,0,0,0,0,0 www.xvideos.com~2026-08~5,0,0,0,0,0,0,0,0 l.facebook.com~2026-05~130,1,0,0,0,0,0,0,0 fortunejack.com~2026-06~71,11,9,5,2,1,0,2,2 www.google.com~2026-05~11,4,0,0,0,0,0,0,0 $direct~2026-09~28,2,1,0,0,0,0,0,0 instagram.com~2026-06~5,1,1,0,0,0,0,0,0 instagram.com~2026-07~4,1,1,1,0,0,0,1,0 www.youporn.com~2026-08~13,8,0,0,0,0,0,0,0 cn.pornhub.com~2026-08~4,2,0,0,0,0,0,0,0 www.redtube.com~2026-08~4,1,0,0,0,0,0,0,0 st.kinopous.top~2026-08~6,2,0,0,0,0,0,0,0 www.pornhub.com~2026-08~178,63,0,0,0,0,0,0,0 klrtspet.net~2026-08~9,1,0,0,0,0,0,0,0 l.facebook.com~2026-07~229,2,1,0,0,0,0,0,0 l.facebook.com~2026-06~278,2,2,0,0,0,0,0,0 com.google.android.gm~2026-07~5,0,0,0,0,0,0,0,0
Chile|l.facebook.com~2026-06~3,0,0,0,0,0,0,0,0 instagram.com~2026-06~18,2,2,1,0,0,0,0,0 m.facebook.com~2026-07~10,0,0,0,0,0,0,0,0 $direct~2026-09~5,0,0,0,0,0,0,0,0 $direct~2026-06~13,2,1,1,0,0,0,0,0 m.facebook.com~2026-06~13,6,3,1,0,0,0,0,0 instagram.com~2026-05~8,1,0,0,0,0,0,0,0 l.facebook.com~2026-07~56,2,1,1,0,0,0,1,0 $direct~2026-07~7,0,0,0,0,0,0,0,0 fortunejack.com~2026-08~15,5,4,4,3,0,0,3,2 com.google.android.gm~2026-06~3,0,0,0,0,0,0,0,0 m.facebook.com~2026-08~3,1,0,0,0,0,0,0,0 $direct~2026-08~6,1,1,0,0,0,0,0,0 com.google.android.gm~2026-07~3,0,0,0,0,0,0,0,0 fortunejack.com~2026-06~7,3,3,0,0,0,0,0,0 t.co~2026-07~3,0,0,0,0,0,0,0,0 fortunejack.com~2026-07~19,4,2,1,0,0,0,0,0 www.google.com~2026-05~4,2,0,0,0,0,0,0,0 instagram.com~2026-07~9,0,0,0,0,0,0,0,0 $direct~2026-05~13,1,0,0,0,0,0,0,0 fortunejack.com~2026-09~6,1,1,1,1,0,0,1,1 tracker-pm2.fortunejackpartners.com~2026-06~3,2,1,0,0,0,0,0,0 m.facebook.com~2026-05~8,1,0,0,0,0,0,0,0
Colombia|fortunejack.com~2026-07~7,0,0,0,0,0,0,0,0 fortunejack.com~2026-08~4,0,0,0,0,0,0,0,0 fortunejack.com~2026-06~3,0,0,0,0,0,0,0,0
Croatia|$direct~2026-05~5,0,0,0,0,0,0,0,0 fortunejack.com~2026-08~13,0,0,0,0,0,0,0,0 www.google.com~2026-05~3,0,0,0,0,0,0,0,0 l.facebook.com~2026-07~18,1,0,0,0,0,0,0,0 fortunejack.com~2026-06~9,4,2,1,1,0,0,1,1 $direct~2026-07~10,0,0,0,0,0,0,0,0 fortunejack.com~2026-07~13,2,2,2,0,0,0,0,0 $direct~2026-08~7,0,0,0,0,0,0,0,0 $direct~2026-06~6,0,0,0,0,0,0,0,0 fortunejack.com~2026-09~7,1,1,1,1,0,0,0,0 croatia-bonusesfinder.com~2026-05~5,4,0,0,0,0,0,0,0 $direct~2026-09~8,0,0,0,0,0,0,0,0 fortunejack.com~2026-05~4,1,0,0,0,0,0,0,0 m.facebook.com~2026-07~3,0,0,0,0,0,0,0,0
Cyprus|$direct~2026-08~3,0,0,0,0,0,0,0,0 l.facebook.com~2026-08~3,0,0,0,0,0,0,0,0 $direct~2026-05~3,1,0,0,0,0,0,0,0 fortunejack.com~2026-09~4,0,0,0,0,0,0,0,0 fortunejack.com~2026-08~5,1,1,1,0,0,0,0,0
