btag|packed
105301207_501903|08-08~5,1,0,0,0 05-13~1,0,0,0,0 07-07~1,0,0,0,0 09-01~1,0,0,0,0 08-19~1,0,0,0,0 09-02~1,0,0,0,0 07-03~1,0,0,0,0 08-04~3,0,0,0,0 05-09~1,0,0,0,0 2026-08~18,7,1,0,0 07-11~127,12,8,3,0 06-09~1,0,0,0,0 05-06~1,0,0,0,0 08-05~2,0,0,0,0 06-14~1,0,0,0,0 2026-06~1,0,0,0,0 06-17~1,0,0,0,0 05-24~1,0,0,0,0 2026-07~394,43,25,12,0 07-15~14,2,1,0,0 06-07~1,0,0,0,0 08-02~3,1,0,0,0 05-25~1,0,0,0,0 05-29~1,0,0,0,0 06-23~1,0,0,0,0 08-07~3,2,0,0,0 08-21~2,0,0,0,0 07-17~12,1,1,1,0 05-18~1,0,0,0,0 06-02~1,0,0,0,0 06-13~1,0,0,0,0 07-20~18,0,0,0,0 2026-07M~1,0,0,0,0 2026-09~1,0,0,0,0 05-04~1,0,0,0,0 06-30~1,0,0,0,0 07-28~4,3,0,0,0 08-15~4,3,0,0,0 07-27~5,1,0,0,0 05-12~1,0,0,0,0 07-08~1,0,0,0,0 06-10~1,0,0,0,0 08-16~5,3,0,0,0 05-19~1,0,0,0,0 06-05~1,0,0,0,0 06-03~1,0,0,0,0 07-16~17,4,3,2,0 07-13~35,6,3,2,0 05-31~1,0,0,0,0 2026-08M~4,1,0,0,0 07-31~1,0,0,0,0 07-14~20,0,0,0,0 07-04~1,0,0,0,0 07-24~5,0,0,0,0 05-02~1,0,0,0,0 08-13~3,2,0,0,0 08-09~3,1,0,0,0 2026-09M~1,0,0,0,0 05-05~1,0,0,0,0 08-11~4,3,0,0,0 2026-05M~1,0,0,0,0 05-08~1,0,0,0,0 07-10~66,7,2,1,0 06-08~1,0,0,0,0 05-30~1,0,0,0,0 05-28~1,0,0,0,0 08-12~5,2,0,0,0 08-01~2,0,0,0,0 08-10~6,3,0,0,0 08-17~1,1,0,0,0 05-03~1,0,0,0,0 06-04~1,0,0,0,0 06-19~1,0,0,0,0 07-01~1,0,0,0,0 07-18~18,0,0,0,0 06-20~1,0,0,0,0 07-06~1,0,0,0,0 07-02~1,0,0,0,0 06-28~1,0,0,0,0 07-30~2,0,0,0,0 07-21~11,2,1,0,0 07-23~8,0,0,0,0 07-25~5,1,0,0,0 06-24~1,0,0,0,0 07-09~1,0,0,0,0 06-11~1,0,0,0,0 06-06~1,0,0,0,0 05-01~1,0,0,0,0 06-01~1,0,0,0,0 07-19~15,3,1,0,0 2026-05~3,0,0,0,0 08-14~3,1,0,0,0 07-05~1,0,0,0,0 08-30~1,0,0,0,0 05-26~1,0,0,0,0 08-06~2,0,0,0,0 06-15~1,0,0,0,0 2026-06M~1,0,0,0,0 08-31~1,0,0,0,0 05-17~1,0,0,0,0 06-16~1,0,0,0,0 07-12~124,8,4,1,0 06-12~1,0,0,0,0 08-03~5,1,1,0,0 05-11~1,0,0,0,0 05-23~1,0,0,0,0 07-29~5,1,0,0,0 all~394,49,25,12,0 07-22~9,1,0,0,0 05-27~1,0,0,0,0 07-26~6,2,0,0,0
105301207_502030|2026-07~23,8,4,2,0 07-12~1,0,0,0,0 05-01~1,0,0,0,0 07-13~12,4,1,1,0 2026-05~1,1,0,0,0 2026-05M~1,0,0,0,0 07-14~8,0,0,0,0 05-20~1,1,0,0,0 07-10~5,4,3,1,0 2026-08~1,1,0,0,0 05-14~1,1,0,0,0 05-13~1,1,0,0,0 all~23,8,4,2,0 08-31~1,1,0,0,0
105301207_505960|08-24~1,0,0,0,0 08-13~4,0,0,0,0 08-14~39,2,1,1,0 08-12~1,0,0,0,0 08-18~3,0,0,0,0 08-15~169,6,4,3,0 2026-05~1,0,0,0,0 all~358,11,6,4,0 05-18~1,0,0,0,0 2026-08~358,11,6,4,0 08-19~1,1,1,0,0 08-16~144,2,0,0,0
105302925_492699|2026-08~77,52,8,6,1 08-15~2,1,0,0,0 08-09~4,1,0,0,0 07-18~3,0,0,0,0 07-06~8,0,0,0,0 07-04~6,3,2,1,0 all~295,206,41,26,7 06-14~6,1,0,0,0 05-25~3,3,0,0,0 05-03~2,0,0,0,0 06-10~4,2,0,0,0 07-08~4,1,0,0,0 05-20~5,2,1,1,0 08-22~2,1,0,0,0 06-21~9,2,0,0,0 05-26~8,5,3,2,2 06-13~6,3,3,2,1 05-04~6,4,0,0,0 08-23~2,1,0,0,0 05-28~5,2,0,0,0 08-28~2,2,1,1,0 07-24~4,0,0,0,0 05-27~8,5,1,0,0 06-16~5,2,0,0,0 07-17~5,0,0,0,0 08-06~18,8,0,0,0 08-26~3,0,0,0,0 06-09~7,5,1,1,0 07-11~1,0,0,0,0 07-29~6,1,0,0,0 05-23~4,1,0,0,0 06-26~2,0,0,0,0 2026-08M~10,5,0,0,0 05-24~11,5,0,0,0 08-02~4,2,0,0,0 05-13~4,3,1,0,0 08-13~7,3,2,1,0 2026-09M~1,0,0,0,0 08-27~3,1,0,0,0 08-14~3,1,0,0,0 05-10~5,4,0,0,0 08-01~8,3,0,0,0 05-19~5,2,0,0,0 05-29~4,2,1,1,0 05-09~8,6,0,0,0 06-05~5,4,0,0,0 08-18~4,0,0,0,0 06-08~4,3,0,0,0 07-10~4,2,1,1,0 08-04~5,3,0,0,0 05-06~6,3,0,0,0 07-23~3,0,0,0,0 07-21~2,0,0,0,0 06-17~8,4,1,1,0 07-02~6,2,1,1,0 08-03~7,1,0,0,0 05-17~3,3,1,0,0 06-11~6,3,0,0,0 07-09~4,2,1,1,0 07-14~3,0,0,0,0 07-19~6,2,1,1,1 06-01~7,4,0,0,0 2026-05~127,85,12,6,3 07-03~4,3,0,0,0 06-18~6,1,0,0,0 05-22~4,2,0,0,0 06-20~3,0,0,0,0 06-22~1,0,0,0,0 05-31~6,1,0,0,0 05-14~7,4,1,1,0 06-15~8,2,1,0,0 05-07~8,6,0,0,0 08-24~4,2,0,0,0 06-23~4,1,1,1,0 05-16~3,1,0,0,0 2026-06~83,49,11,7,2 07-30~3,0,0,0,0 06-28~5,2,0,0,0 05-11~6,3,0,0,0 08-05~7,4,1,1,1 06-30~4,1,0,0,0 07-28~5,1,0,0,0 07-27~4,1,0,0,0 06-04~4,3,1,1,0 08-30~1,0,0,0,0 08-31~3,1,1,1,0 07-15~4,2,1,1,0 08-16~5,3,0,0,0 05-30~8,4,1,0,0 08-07~15,8,1,1,0 2026-07M~8,2,1,1,0 06-07~3,1,0,0,0 08-29~1,0,0,0,0 05-12~7,6,0,0,0 07-16~3,2,0,0,0 2026-09~1,0,0,0,0 09-02~1,0,0,0,0 07-20~7,5,1,0,0 07-13~3,1,0,0,0 08-20~5,0,0,0,0 06-02~7,2,1,0,0 06-06~3,1,0,0,0 08-08~4,1,0,0,0 05-21~5,3,1,1,1 06-27~3,2,1,0,0 2026-07~59,28,10,7,1 08-19~3,0,0,0,0 09-01~1,0,0,0,0 06-12~3,2,1,1,1 06-29~1,0,0,0,0 07-31~3,0,0,0,0 08-11~5,1,0,0,0 06-24~4,0,0,0,0 06-03~6,3,0,0,0 07-22~4,2,1,1,0 05-18~3,3,1,0,0 07-26~4,1,1,0,0 05-05~4,2,0,0,0 07-25~8,2,0,0,0 08-17~4,2,1,1,0 05-08~7,4,0,0,0 06-25~3,0,0,0,0 2026-06M~14,6,1,0,0 07-01~4,0,0,0,0 06-19~7,0,0,0,0 08-25~5,3,1,0,0 07-07~5,1,0,0,0 08-12~2,1,0,0,0 08-10~3,0,0,0,0 08-21~5,2,0,0,0
105318264_492975|06-22~1,1,0,0,0 06-03~1,1,0,0,0 05-30~3,2,1,1,0 06-30~2,1,0,0,0 05-07~1,1,0,0,0 05-18~8,3,2,0,0 06-04~2,2,1,0,0 08-04~1,0,0,0,0 05-10~4,4,0,0,0 2026-06M~1,1,0,0,0 05-23~6,6,3,2,0 06-08~1,1,0,0,0 05-26~1,0,0,0,0 05-29~2,1,0,0,0 05-24~4,1,0,0,0 05-17~12,9,7,4,0 05-15~7,4,3,2,0 2026-06~6,5,1,0,0 05-20~3,1,0,0,0 05-04~1,1,0,0,0 2026-08~1,0,0,0,0 05-13~11,11,1,0,0 05-28~1,0,0,0,0 05-21~5,3,0,0,0 05-19~3,2,1,1,0 05-22~3,2,1,1,0 05-14~16,14,6,1,0 05-27~2,2,0,0,0 2026-07~1,0,0,0,0 all~70,68,29,15,1 2026-05~70,68,29,15,1 05-05~4,4,0,0,0 05-08~2,1,0,0,0 05-16~8,5,4,2,0 06-18~1,1,0,0,0 05-12~2,1,0,0,0 07-08~1,0,0,0,0 05-11~2,1,0,0,0 05-09~2,1,0,0,0 06-02~1,1,0,0,0
105318755_492695|05-11~6,6,0,0,0 06-05~1,0,0,0,0 06-29~1,0,0,0,0 05-13~1,1,0,0,0 05-06~4,3,0,0,0 05-07~1,1,0,0,0 05-05~1,1,0,0,0 05-19~22,21,4,2,1 2026-05~38,35,4,2,1 05-14~1,1,0,0,0 2026-06~2,0,0,0,0 all~38,35,4,2,1 05-20~2,1,0,0,0
105321308_494228|05-30~1,0,0,0,0 2026-05~23,21,14,14,14 05-29~3,2,0,0,0 06-01~1,0,0,0,0 05-26~3,1,0,0,0 05-21~2,2,1,1,1 05-27~3,1,1,1,1 05-28~3,2,1,1,1 06-17~1,0,0,0,0 05-18~1,1,0,0,0 all~23,21,14,14,14 2026-06M~1,0,0,0,0 05-24~11,11,8,8,8 06-12~1,0,0,0,0 05-19~1,1,0,0,0 05-22~1,1,1,1,1 05-25~7,5,1,1,1 2026-06~2,0,0,0,0 06-02~1,0,0,0,0 06-16~1,0,0,0,0 05-15~4,3,1,1,0
105322119_493810|05-26~2,1,0,0,0 06-02~3,3,1,1,0 07-04~1,1,0,0,0 06-13~1,0,0,0,0 06-06~2,1,0,0,0 05-25~2,1,0,0,0 07-30~1,1,0,0,0 05-13~4,4,0,0,0 05-19~1,0,0,0,0 05-27~2,1,1,0,0 2026-06~13,7,2,2,0 05-12~1,1,0,0,0 06-08~2,0,0,0,0 06-05~4,3,0,0,0 08-24~1,1,0,0,0 06-22~1,0,0,0,0 05-15~1,1,0,0,0 07-25~1,1,0,0,0 06-03~2,1,0,0,0 2026-06M~3,3,1,1,0 2026-08~4,3,0,0,0 08-01~2,1,0,0,0 05-29~1,1,1,0,0 2026-05~7,6,1,1,0 2026-07M~1,0,0,0,0 07-28~1,1,0,0,0 all~23,17,3,3,0 2026-08M~2,1,0,0,0 05-14~1,1,1,0,0 08-15~1,1,0,0,0 06-24~2,2,0,0,0 06-19~1,1,1,1,0 07-01~1,0,0,0,0 05-28~1,1,0,0,0 06-29~1,0,0,0,0 2026-07~3,3,0,0,0
105322126_493817|08-27~2,1,0,0,0 05-20~1,0,0,0,0 06-02~6,1,0,0,0 08-06~2,1,0,0,0 06-30~2,1,0,0,0 all~18,12,6,4,1 06-04~4,3,1,1,0 2026-06M~7,1,0,0,0 08-05~1,1,0,0,0 06-26~1,0,0,0,0 08-22~1,0,0,0,0 08-12~2,2,0,0,0 08-11~2,1,0,0,0 08-03~1,1,0,0,0 07-20~1,0,0,0,0 08-09~1,0,0,0,0 08-04~1,1,0,0,0 06-28~1,1,1,1,1 08-14~2,0,0,0,0 06-01~1,0,0,0,0 07-19~1,1,0,0,0 08-28~2,1,0,0,0 08-17~1,0,0,0,0 08-13~2,0,0,0,0 08-10~2,1,0,0,0 05-15~1,0,0,0,0 06-24~1,1,0,0,0 2026-05~5,3,1,1,0 08-30~1,0,0,0,0 08-20~1,0,0,0,0 08-26~3,1,0,0,0 08-23~1,0,0,0,0 2026-09M~2,1,0,0,0 05-27~2,1,0,0,0 08-25~1,0,0,0,0 05-12~1,0,0,0,0 07-03~1,0,0,0,0 2026-06~13,9,5,3,1 08-24~2,0,0,0,0 05-18~1,1,0,0,0 06-16~1,0,0,0,0 06-12~1,1,1,0,0 09-01~1,1,0,0,0 08-19~2,0,0,0,0 06-29~2,1,0,0,0 07-31~3,2,0,0,0 05-25~3,1,1,1,0 09-02~2,0,0,0,0 08-29~1,0,0,0,0 2026-07~4,3,0,0,0 06-03~6,2,2,1,0 2026-08~4,4,0,0,0 08-08~2,1,0,0,0 06-09~2,1,0,0,0 08-31~2,0,0,0,0 06-25~1,0,0,0,0 08-15~1,0,0,0,0 08-21~1,0,0,0,0 07-06~1,0,0,0,0 2026-09~2,1,0,0,0 08-07~1,1,0,0,0
105322126_497387|2026-05~1,0,0,0,0 06-15~4,1,0,0,0 08-27~8,7,0,0,0 07-14~6,1,1,1,0 07-13~6,3,1,1,0 08-10~3,3,0,0,0 06-28~22,20,13,12,7 07-30~2,0,0,0,0 06-27~3,1,0,0,0 06-05~2,1,1,0,0 08-06~8,6,0,0,0 08-13~7,5,1,0,0 2026-08M~12,8,2,1,0 06-04~3,3,1,0,0 07-17~5,4,1,1,1 07-10~7,5,2,2,1 06-08~3,2,0,0,0 08-09~7,6,2,1,1 08-31~9,5,0,0,0 08-28~9,7,0,0,0 07-21~5,2,0,0,0 06-21~2,0,0,0,0 07-19~8,4,0,0,0 05-04~1,0,0,0,0 07-12~6,3,1,1,0 08-16~13,8,2,0,0 08-01~3,3,0,0,0 06-25~7,4,2,0,0 08-08~6,4,0,0,0 07-18~6,3,0,0,0 06-14~6,4,0,0,0 07-15~5,1,0,0,0 07-20~6,2,0,0,0 07-03~4,1,0,0,0 07-08~5,2,1,1,0 06-10~2,0,0,0,0 07-05~5,2,0,0,0 07-22~3,1,1,0,0 06-18~5,3,1,1,1 06-26~3,1,0,0,0 2026-06~81,79,31,22,12 06-12~5,2,0,0,0 07-06~5,2,0,0,0 08-22~8,4,0,0,0 07-27~4,2,0,0,0 08-15~11,8,2,1,0 06-23~4,1,0,0,0 08-30~8,8,1,1,0 07-23~1,0,0,0,0 06-24~4,2,1,1,0 06-29~10,3,1,1,0 07-31~9,7,2,0,0 08-26~12,7,1,0,0 2026-09~17,13,0,0,0 2026-09M~17,13,0,0,0 07-02~9,2,0,0,0 08-11~5,4,0,0,0 07-09~4,0,0,0,0 06-11~8,6,2,1,1 07-11~6,3,1,0,0 06-09~2,0,0,0,0 08-07~11,8,1,1,1 08-05~8,8,0,0,0 07-04~8,4,0,0,0 08-04~8,6,2,1,1 06-22~7,4,0,0,0 08-17~10,5,1,1,0 08-18~13,10,3,3,2 08-23~14,9,2,1,1 06-17~10,6,2,1,0 06-16~8,6,3,1,1 07-29~1,0,0,0,0 08-12~17,16,5,5,1 2026-07M~11,2,0,0,0 06-20~9,5,0,0,0 08-20~9,6,0,0,0 07-16~3,0,0,0,0 2026-08~192,184,37,25,11 all~316,310,82,57,28 08-29~12,8,1,1,1 07-24~3,3,0,0,0 06-07~1,1,1,1,1 08-25~10,7,1,1,0 08-21~16,11,2,1,0 2026-07~69,56,15,11,4 07-26~3,2,1,0,0 08-03~4,2,1,1,0 08-24~14,12,4,2,0 09-01~9,6,0,0,0 08-19~13,8,0,0,0 09-02~10,8,0,0,0 06-30~8,3,0,0,0 07-28~4,3,1,1,0 06-13~4,3,1,0,0 08-02~10,6,2,1,0 08-14~8,7,3,3,1 06-06~1,1,1,0,0 07-07~6,4,2,2,1 06-19~8,3,1,1,0 07-01~8,0,0,0,0
105399418_493010|08-01~6,0,0,0,0 08-26~2,0,0,0,0 2026-05~56,12,4,2,2 08-18~3,0,0,0,0 06-27~2,0,0,0,0 05-16~2,0,0,0,0 05-31~3,0,0,0,0 06-04~3,0,0,0,0 05-18~1,1,0,0,0 05-08~17,2,0,0,0 05-30~7,0,0,0,0 05-19~3,1,1,1,1 06-23~1,0,0,0,0 05-13~4,0,0,0,0 08-11~5,0,0,0,0 06-12~2,0,0,0,0 05-15~4,0,0,0,0 2026-09~7,0,0,0,0 06-20~3,0,0,0,0 06-07~4,1,0,0,0 08-10~6,0,0,0,0 05-28~5,0,0,0,0 2026-06M~6,0,0,0,0 07-17~1,0,0,0,0 05-14~2,0,0,0,0 07-05~3,0,0,0,0 06-25~3,0,0,0,0 2026-05M~1,0,0,0,0 07-24~2,0,0,0,0 2026-09M~7,0,0,0,0 08-15~6,0,0,0,0 07-22~4,0,0,0,0 06-02~2,0,0,0,0 05-10~1,0,0,0,0 06-15~3,0,0,0,0 05-17~5,1,1,1,0 08-31~6,0,0,0,0 07-21~3,0,0,0,0 07-04~3,0,0,0,0 05-20~3,1,0,0,0 08-20~2,0,0,0,0 05-09~3,1,0,0,0 08-14~2,0,0,0,0 08-27~4,0,0,0,0 09-01~5,0,0,0,0 08-19~2,0,0,0,0 05-23~2,0,0,0,0 08-04~8,0,0,0,0 08-09~3,0,0,0,0 05-29~4,0,0,0,0 2026-08~78,1,0,0,0 08-06~6,0,0,0,0 2026-08M~11,0,0,0,0 07-23~4,0,0,0,0 06-01~5,0,0,0,0 07-19~5,0,0,0,0 07-10~4,0,0,0,0 06-08~3,1,0,0,0 07-12~3,0,0,0,0 07-07~4,0,0,0,0 05-26~2,0,0,0,0 06-24~2,0,0,0,0 06-29~4,0,0,0,0 07-31~5,0,0,0,0 08-30~3,0,0,0,0 05-24~1,0,0,0,0 06-22~2,0,0,0,0 06-05~2,0,0,0,0 08-05~9,0,0,0,0 05-06~5,0,0,0,0 06-28~4,0,0,0,0 07-30~6,0,0,0,0 05-11~3,0,0,0,0 06-13~1,0,0,0,0 07-09~3,0,0,0,0 06-11~1,0,0,0,0 05-02~1,0,0,0,0 05-27~3,0,0,0,0 06-26~3,0,0,0,0 08-08~2,0,0,0,0 08-17~4,0,0,0,0 07-08~4,0,0,0,0 06-10~2,0,0,0,0 05-25~5,2,2,0,0 07-03~2,0,0,0,0 05-22~3,0,0,0,0 all~216,13,4,2,2 06-03~2,0,0,0,0 07-14~3,0,0,0,0 08-03~4,0,0,0,0 08-02~6,0,0,0,0 07-26~2,0,0,0,0 2026-07M~7,0,0,0,0 08-25~4,0,0,0,0 06-06~2,0,0,0,0 05-03~2,0,0,0,0 09-02~3,0,0,0,0 05-21~2,0,0,0,0 07-25~2,0,0,0,0 2026-07~57,0,0,0,0 08-28~5,0,0,0,0 08-29~7,0,0,0,0 07-13~3,0,0,0,0 07-20~5,0,0,0,0 05-05~6,1,0,0,0 06-19~3,0,0,0,0 07-01~3,0,0,0,0 08-13~1,0,0,0,0 07-29~5,0,0,0,0 06-14~1,0,0,0,0 06-21~4,0,0,0,0 05-04~14,4,0,0,0 07-02~5,0,0,0,0 08-22~3,0,0,0,0 06-17~2,0,0,0,0 06-30~1,0,0,0,0 07-28~6,0,0,0,0 07-11~1,0,0,0,0 06-09~2,0,0,0,0 05-07~4,1,0,0,0 07-15~2,0,0,0,0 05-01~1,0,0,0,0 2026-06~30,1,0,0,0 07-16~4,0,0,0,0 08-24~3,1,0,0,0 08-07~2,0,0,0,0 06-16~1,0,0,0,0 08-16~5,0,0,0,0 07-18~2,0,0,0,0 07-06~3,0,0,0,0 08-21~2,0,0,0,0 08-23~3,0,0,0,0 08-12~5,0,0,0,0
105400053_493018|05-01~1,0,0,0,0 09-02~1,0,0,0,0 08-06~3,0,0,0,0 05-20~2,0,0,0,0 07-17~2,0,0,0,0 2026-09M~1,0,0,0,0 07-09~4,0,0,0,0 2026-08M~2,0,0,0,0 06-11~2,0,0,0,0 06-13~2,0,0,0,0 08-24~2,0,0,0,0 08-23~2,0,0,0,0 07-03~3,0,0,0,0 05-10~2,0,0,0,0 05-13~2,0,0,0,0 07-20~3,0,0,0,0 05-24~3,0,0,0,0 05-23~2,0,0,0,0 05-04~13,2,0,0,0 05-25~4,0,0,0,0 07-07~2,0,0,0,0 06-24~2,0,0,0,0 05-29~4,1,1,0,0 07-04~2,0,0,0,0 07-23~2,0,0,0,0 05-22~4,2,1,1,0 05-14~5,0,0,0,0 2026-07M~2,0,0,0,0 05-27~2,0,0,0,0 08-27~2,0,0,0,0 08-05~3,0,0,0,0 05-31~2,0,0,0,0 05-28~2,0,0,0,0 06-21~3,0,0,0,0 06-19~4,0,0,0,0 07-01~1,0,0,0,0 08-04~2,0,0,0,0 2026-05~42,14,3,1,0 07-18~2,0,0,0,0 08-11~2,0,0,0,0 08-09~2,0,0,0,0 08-29~1,0,0,0,0 06-06~2,0,0,0,0 08-22~1,0,0,0,0 07-26~1,0,0,0,0 2026-06M~5,0,0,0,0 06-29~2,0,0,0,0 07-31~1,0,0,0,0 06-05~2,0,0,0,0 06-20~4,0,0,0,0 08-28~1,0,0,0,0 08-25~1,0,0,0,0 08-10~1,0,0,0,0 05-11~2,0,0,0,0 08-12~2,0,0,0,0 08-30~1,0,0,0,0 05-15~2,0,0,0,0 05-16~2,0,0,0,0 05-26~3,0,0,0,0 2026-08~6,0,0,0,0 05-06~5,1,0,0,0 07-12~2,0,0,0,0 all~42,14,4,2,1 08-17~3,0,0,0,0 06-07~6,1,1,0,0 07-25~2,0,0,0,0 05-09~2,0,0,0,0 06-23~2,0,0,0,0 06-18~3,0,0,0,0 05-05~18,3,0,0,0 06-15~3,0,0,0,0 08-13~1,0,0,0,0 05-18~2,0,0,0,0 07-06~3,0,0,0,0 08-01~1,0,0,0,0 06-03~2,0,0,0,0 07-16~3,0,0,0,0 05-12~3,0,0,0,0 2026-07~5,1,1,0,0 07-21~2,0,0,0,0 08-21~1,0,0,0,0 06-14~1,0,0,0,0 06-17~1,0,0,0,0 05-03~2,0,0,0,0 07-02~2,0,0,0,0 05-08~4,0,0,0,0 05-19~4,2,1,0,0 06-27~2,0,0,0,0 07-27~2,0,0,0,0 06-30~2,0,0,0,0 07-28~2,0,0,0,0 07-13~3,0,0,0,0 05-02~2,0,0,0,0 06-02~4,0,0,0,0 2026-05M~2,0,0,0,0 09-01~1,0,0,0,0 08-19~1,0,0,0,0 07-22~2,0,0,0,0 08-08~2,0,0,0,0 07-10~2,0,0,0,0 06-08~4,0,0,0,0 08-26~1,0,0,0,0 08-03~2,0,0,0,0 2026-06~11,2,2,1,1 06-01~4,0,0,0,0 07-19~2,0,0,0,0 08-14~2,0,0,0,0 08-15~2,0,0,0,0 06-04~1,0,0,0,0 06-25~3,0,0,0,0 07-15~2,0,0,0,0 07-11~2,0,0,0,0 06-09~4,1,1,0,0 08-07~3,0,0,0,0 06-28~2,0,0,0,0 07-30~2,0,0,0,0 2026-09~1,0,0,0,0 08-16~2,0,0,0,0 07-05~3,0,0,0,0 06-26~4,0,0,0,0 07-14~2,0,0,0,0 05-17~3,0,0,0,0 08-02~2,0,0,0,0 07-29~2,0,0,0,0 05-30~2,0,0,0,0 08-18~2,0,0,0,0 05-07~9,3,0,0,0 06-16~2,0,0,0,0 06-12~2,0,0,0,0 07-24~3,1,1,0,0 05-21~2,0,0,0,0 07-08~2,0,0,0,0 06-10~4,0,0,0,0 06-22~2,0,0,0,0 08-31~1,0,0,0,0
105400053_493616|08-11~23,4,1,0,0 06-04~24,3,0,0,0 2026-08M~50,13,5,1,0 07-02~73,29,15,6,1 2026-09M~36,6,1,1,1 06-18~40,11,7,3,0 08-28~29,1,1,1,0 07-08~55,26,14,3,0 06-10~62,15,7,2,0 05-18~16,5,2,2,1 05-21~52,27,13,1,0 05-06~7,2,0,0,0 05-28~47,7,4,2,0 08-04~35,9,5,2,1 05-07~26,10,0,0,0 2026-07~678,385,206,68,11 06-14~32,6,3,1,0 05-24~14,3,0,0,0 08-26~30,6,2,1,0 06-25~82,38,16,5,1 05-22~36,16,8,1,0 2026-05M~9,0,0,0,0 06-17~32,6,2,0,0 06-30~54,22,15,2,0 07-28~17,2,0,0,0 05-29~31,10,8,4,0 2026-08~450,218,96,42,6 all~1697,1048,567,244,41 08-27~32,2,2,1,0 2026-06M~80,34,16,5,1 07-20~35,11,3,0,0 05-05~13,4,0,0,0 05-23~28,6,3,1,0 06-12~56,12,5,2,0 07-13~85,33,19,2,0 09-02~24,4,0,0,0 08-02~26,7,4,0,0 08-22~27,2,0,0,0 07-15~49,13,5,2,0 08-29~26,1,0,0,0 2026-09~36,6,1,1,1 2026-07M~123,59,28,8,1 05-27~31,11,7,3,0 06-22~51,12,6,1,0 05-20~18,5,3,2,0 08-06~64,22,9,4,0 07-16~57,11,7,2,0 05-17~16,4,3,1,0 08-17~33,5,4,3,0 08-23~22,2,0,0,0 08-10~27,5,2,1,0 05-14~16,3,2,2,1 09-01~22,2,1,1,1 08-19~43,11,4,2,0 08-05~32,8,3,1,0 08-31~16,1,0,0,0 06-01~53,20,8,1,0 07-19~45,19,7,2,2 07-14~91,33,13,2,1 05-02~8,0,0,0,0 07-27~20,4,3,0,0 07-25~31,8,5,3,0 07-30~32,10,8,2,0 06-28~25,7,2,1,1 05-11~11,1,0,0,0 06-13~30,6,5,2,0 07-06~34,6,4,1,0 08-18~22,2,0,0,0 08-07~52,17,9,0,0 05-13~21,3,1,0,0 06-15~46,7,2,0,0 2026-05~307,160,76,36,4 07-10~64,30,16,4,0 06-08~40,10,5,1,0 06-05~34,13,9,0,0 05-19~15,3,1,0,0 05-31~14,1,1,1,0 07-07~31,2,1,1,0 07-04~36,7,4,1,0 05-26~10,3,2,1,0 06-24~27,7,4,3,1 06-26~49,18,9,3,2 05-08~19,6,0,0,0 2026-06~674,375,206,78,11 05-10~10,1,0,0,0 07-09~50,19,11,5,1 06-11~31,3,1,0,0 05-03~5,0,0,0,0 08-20~48,9,3,0,0 06-27~43,12,5,2,0 05-12~6,0,0,0,0 05-15~17,3,0,0,0 08-01~33,6,1,1,0 07-23~23,6,3,0,0 07-18~31,6,1,0,0 05-09~15,1,0,0,0 07-11~35,7,5,0,0 06-09~35,8,5,1,0 08-12~55,21,8,2,1 07-29~17,2,1,1,0 08-03~37,9,4,2,0 06-03~26,4,0,0,0 08-08~22,3,2,1,1 05-16~30,14,6,2,0 07-12~26,9,7,0,0 07-24~34,10,4,2,0 07-17~50,9,7,2,0 08-24~30,2,0,0,0 06-06~43,16,11,1,0 05-04~5,1,0,0,0 06-02~40,15,9,4,1 05-25~39,15,11,5,1 06-23~44,7,4,2,0 06-16~60,16,10,0,0 08-15~41,9,4,1,0 06-20~85,34,24,6,1 06-07~30,9,2,1,0 07-26~37,10,3,0,0 08-09~17,2,1,0,0 05-30~20,2,1,0,0 07-22~34,8,5,1,0 05-01~7,0,0,0,0 07-21~43,20,8,2,0 08-13~69,18,7,1,0 08-30~16,1,0,0,0 06-21~35,10,4,2,1 07-05~38,4,2,1,0 08-21~38,6,4,1,0 06-19~102,41,24,10,0 07-01~60,30,13,2,0 07-03~59,20,14,5,0 06-29~75,26,6,0,0 07-31~30,10,3,0,0 08-16~34,12,6,2,0 08-14~65,19,7,2,0 08-25~29,7,4,2,0
