1005369|0|0|3503.88
1040737|0|0|355.50
1080233|0|0|32902.07
1101257|0|0|2349.96
1124432|0|0|3789.30
1193571|0|0|35966.88
1249432|0|0|3171.55
1251685|0|0|2872.94
1256817|0|0|-20.40
1259365|0|0|5815.50
1269899|0|0|19629.48
1276720|0|0|25.62
1299394|0|0|25260.56
1344755|0|0|283.82
1369727|0|0|104.38
1397589|0|0|2.43
1420828|0|0|437.55
1459587|0|0|16611.16
1469055|0|0|238.94
1481885|0|0|-125.58
1482130|0|0|1642.47
1538156|0|0|5463.76
1575777|0|0|277.14
1576698|0|0|-4854.13
1729879|0|0|8093.39
1735906|0|0|351.92
1746221|-0.32|0|189.31
1786889|0|0|-16613.21
1795367|-1645.33|-1398.45|46144.74
1808018|0|0|928.34
1824651|0|0|10.34
1841166|0|0|2544.40
1856978|0|0|7965.91
1873453|0|0|10369.80
1896828|0|0|4071.08
2073729|0|0|28957.74
3007400|0|0|3973.22
3088128|0|0|16590.23
3113605|0|0|187.87
3138688|0|0|1249.38
3161831|0|0|-97.68
3182682|0|0|1026.06
3225139|0|0|8800.20
3233890|0|0|168.86
3236663|0|0|222.33
3244406|0|0|356.65
3279208|0|0|1324.03
3316564|0|0|14822.45
3346063|0|0|3050.84
3365363|0|0|11520.16
3371160|0|0|4722.48
3373652|0|0|864.51
3374175|0|0|44096.58
3382189|0|0|1694.42
3415548|0|0|449.35
3438062|0|0|37.77
3449495|0|0|1.97
3470813|0|0|248.41
3508000|0|0|129.37
3508051|0|0|81.22
3512116|0|0|20585.35
3536110|0|0|1293.36
3537384|0|0|-23054.64
3558824|0|0|24.39
3569024|0|0|5002.06
3571899|0|0|64.01
3588178|0|0|85.30
3617928|0|0|7255.64
3663586|0|0|122.13
3681159|0|0|75.05
3714245|-2521.94|0|5534.18
3719668|0|0|93.22
3728784|0|0|7105.23
3729199|0|0|0.84
3736118|0|0|547.61
3738552|0|0|10596.10
3741865|0|0|76.06
3743026|0|0|297.19
3752484|0|0|15310.10
3758988|-7.88|0|433.63
3768156|0|0|9088.59
3780956|0|0|-26.17
3782789|0|0|2783.57
3798627|0|0|-1672.22
3801652|0|0|173.23
3801917|0|0|1274.34
3801937|0|0|160.16
3802103|0|0|23123.84
3822024|0|0|1862.18
3842975|0|0|1656.44
3899147|0|0|2489.92
3901185|0|0|-40.61
3901678|0|0|-1903.66
3908573|0|0|-932.51
3915047|0|0|8458.00
3916179|0|0|-336.41
3917519|0|0|1674.03
3922775|0|0|6791.98
3924095|0|0|2032.58
3928716|0|0|-41.16
3930481|0|0|691.35
3931006|0|0|-1685.35
3932909|0|0|1004.39
3934733|0|0|-479.08
3936668|0|0|1037.37
3938547|0|0|88.54
3939934|0|0|13562.29
3940242|0|0|-397.82
3940267|0|0|5268.78
3940331|0|0|606.09
3940615|0|0|136.39
3942367|0|0|13.10
3942907|0|173.62|5969.26
3943607|0|0|2074.55
3944136|0|0|-37498.10
3944312|0|0|55.77
3944556|0|0|429.99
3945134|0|0|-435.97
3946002|0|0|1036.77
3946844|0|0|53.88
3947411|0|0|1374.29
3948260|0|0|-28820.88
3948554|0|0|-18732.30
3950109|0|0|17.41
3950341|0|0|241.45
3950747|0|0|5.98
