1005369|2015-01-18|34387.08|198
1040737|2015-12-07|406.00|22
1080233|2016-06-02|146133.96|2014
1101257|2016-08-26|2029.93|18
1124432|2017-01-08|2596.62|59
1193571|2017-11-28|60506.48|11
1249432|2018-04-27|11640.83|120
1251685|2018-05-11|2314.41|85
1256817|2018-06-02|1204.59|34
1259365|2018-06-09|7250.85|65
1269899|2018-07-14|18568.13|236
1276720|2018-08-04|0.00|0
1299394|2018-10-16|42502.16|2498
1344755|2019-03-06|224.26|6
1369727|2019-04-28|0.00|0
1397589|2019-07-22|0.00|0
1420828|2019-10-09|345.22|12
1459587|2020-03-02|19855.90|418
1469055|2020-04-12|155.14|5
1481885|2020-05-18|1884.62|33
1482130|2020-05-18|2191.50|11
1538156|2020-11-13|5850.30|63
1575777|2021-01-29|242.70|19
1576698|2021-01-31|19693.80|115
1729879|2021-05-31|7520.99|54
1735906|2021-06-09|53.93|6
1746221|2021-06-28|947.25|23
1786889|2021-09-21|58324.04|289
1795367|2021-10-05|46762.60|1139
1808018|2021-10-27|1335.21|8
1824651|2021-11-19|0.00|0
1841166|2021-12-12|4841.18|230
1856978|2021-12-31|8167.01|120
1873453|2022-01-09|18637.18|285
1896828|2022-01-25|16347.84|144
2073729|2022-06-13|37933.01|589
3007400|2022-08-08|44065.48|1381
3088128|2022-12-26|25468.21|160
3113605|2023-02-18|4403.57|80
3138688|2023-04-20|4934.55|26
3161831|2023-05-30|1534.11|47
3182682|2023-06-20|4838.95|18
3225139|2023-08-25|16608.15|230
3233890|2023-09-11|0.00|0
3236663|2023-09-16|0.00|0
3244406|2023-10-03|979.09|29
3279208|2023-11-23|1254.78|27
3316564|2024-02-06|35263.41|523
3346063|2024-03-02|4060.61|113
3365363|2024-04-05|36108.75|120
3371160|2024-04-16|4488.02|76
3373652|2024-04-20|213.64|1
3374175|2024-04-21|112525.84|20
3382189|2024-04-29|3679.66|108
3415548|2024-06-09|385.75|11
3438062|2024-07-07|3076.38|152
3449495|2024-07-23|0.00|0
3470813|2024-08-31|463.36|13
3508000|2024-11-17|97.38|6
3508051|2024-11-17|60.36|1
3512116|2024-11-26|17135.15|14
3526780|2024-12-21|0.00|0
3531389|2024-12-28|0.00|0
3536110|2025-01-03|3137.28|36
3537384|2025-01-05|7584.71|31
3558824|2025-01-28|315.56|3
3569024|2025-02-10|4115.16|2
3571899|2025-02-13|36.40|2
3588178|2025-02-24|27.12|2
3617928|2025-03-14|13705.59|446
3641649|2025-04-01|0.00|0
3663586|2025-04-22|159.46|5
3681159|2025-05-11|42.03|1
3714245|2025-06-10|4900.89|163
3719668|2025-06-20|115.47|3
3728784|2025-07-13|7385.73|70
3729199|2025-07-14|0.00|0
3736118|2025-08-03|276.43|3
3738552|2025-08-11|20230.56|176
3741865|2025-08-21|76.41|3
3743026|2025-08-24|325.14|57
3752484|2025-09-20|32536.91|529
3758988|2025-10-09|819.36|156
3768156|2025-10-21|6270.63|151
3780956|2025-11-02|17.33|1
3782789|2025-11-04|12630.79|101
3798627|2025-12-03|2827.24|10
3801652|2025-12-15|157.18|1
3801917|2025-12-16|9007.63|295
3801937|2025-12-17|693.10|80
3802103|2025-12-17|38779.35|646
3821529|2026-01-18|0.00|0
3822024|2026-01-21|2493.30|52
3842975|2026-02-13|4941.68|34
3899147|2026-03-14|2456.40|86
3901185|2026-03-18|2744.59|37
3901678|2026-03-20|2310.25|18
3902565|2026-03-23|0.00|0
3908573|2026-03-29|4337.34|68
3915047|2026-04-25|21309.26|332
3916179|2026-04-30|937.39|3
3917519|2026-05-07|6574.71|11
3921747|2026-05-26|0.00|0
3922775|2026-05-29|7923.80|107
3924095|2026-06-02|4981.49|66
3925893|2026-06-06|0.00|0
3928716|2026-06-11|97.93|3
3930481|2026-06-17|9830.16|105
3931006|2026-06-19|9077.06|132
3932909|2026-06-23|4074.05|14
3934733|2026-06-28|665.44|27
3936668|2026-07-03|1011.91|22
3938547|2026-07-10|30.04|1
3939934|2026-07-14|16854.52|27
3940242|2026-07-15|1203.09|25
3940267|2026-07-15|4079.23|59
3940331|2026-07-15|2145.53|41
3940615|2026-07-16|1149.90|4
3941306|2026-07-18|0.00|0
3941373|2026-07-18|0.00|0
3942367|2026-07-21|193.19|3
3942907|2026-07-23|3453.35|37
3943607|2026-07-26|900.02|2
3943992|2026-07-27|0.00|0
3944088|2026-07-28|0.00|0
3944136|2026-07-28|13732.83|7
3944312|2026-07-28|35.63|7
3944493|2026-07-29|0.00|0
3944500|2026-07-29|0.00|0
3944556|2026-07-29|363.63|4
3945134|2026-07-30|671.28|2
3945507|2026-07-31|0.00|0
3945587|2026-08-01|0.00|0
3945615|2026-08-01|0.00|0
3946002|2026-08-02|87.38|1
3946086|2026-08-02|0.00|0
3946844|2026-08-05|43.29|1
3946972|2026-08-06|0.00|0
3947411|2026-08-07|322.34|2
3947858|2026-08-09|0.00|0
3948260|2026-08-11|0.00|0
3948554|2026-08-12|0.00|0
3948683|2026-08-13|0.00|0
3949676|2026-08-16|0.00|0
3949790|2026-08-16|0.00|0
3949810|2026-08-16|0.00|0
3949842|2026-08-16|0.00|0
3950109|2026-08-18|0.00|0
3950341|2026-08-19|774.71|2
3950351|2026-08-19|0.00|0
3950602|2026-08-20|0.00|0
3950747|2026-08-20|17.52|1
