3916179|1364.50|4|-336.41|-516.87|180.46|1439.42
3917519|13400.58|23|1674.03|-705.32|2379.35|34884.15
3922775|13332.62|180|6791.98|4307.86|2484.13|68397.57
3924095|6411.88|79|2032.58|263.78|1768.80|47734.69
3928716|97.93|3|-41.16|-78.31|37.15|183.09
3930481|10533.29|113|691.35|457.60|233.75|93376.57
3931006|10737.55|165|-1685.35|-1913.72|228.37|192062.08
3932909|5974.68|19|1004.39|892.11|112.27|7206.24
3934733|665.44|27|-479.08|-650.09|171.01|11304.25
3936668|1087.23|23|1037.37|936.37|101.00|7208.31
3938547|88.43|2|88.54|87.87|0.67|413.10
3939934|21735.73|64|13562.29|11650.47|1911.82|162182.45
3940242|1277.69|27|-397.82|-447.60|49.78|5716.33
3940267|8171.41|77|5268.78|4456.83|811.95|64554.75
3940331|2145.53|41|606.09|511.79|94.30|16564.58
3940615|2931.89|6|136.39|-489.36|625.75|4255.17
3942367|193.19|3|13.10|-4.19|17.29|3644.02
3942907|5501.83|65|5795.64|5105.49|863.77|25176.63
3943607|2000.89|5|2074.55|1996.79|77.76|5362.24
3944136|13732.83|7|-37498.10|-38142.09|643.98|857279.02
3944312|52.90|8|55.77|52.70|3.07|288.87
3944556|752.70|8|429.99|379.03|50.96|2731.39
3945134|1547.24|3|-435.97|-451.74|15.76|4455.88
3946002|944.90|2|1036.77|944.70|92.08|2348.24
3946844|43.29|1|53.88|43.33|10.55|481.09
3947411|4356.29|13|1374.29|1178.50|195.79|9686.27
3948260|36239.46|4|-28820.88|-29068.15|247.27|109320.20
3948554|16823.80|2|-18732.30|-18732.30|0.00|37497.20
3950109|17.52|4|17.41|17.41|0.00|24.95
3950341|988.24|3|241.45|88.06|153.38|7884.41
3950747|26.42|2|5.98|-17.06|23.04|221.06
