country|src|n|packed
Brazil|$direct|92|-~05-25~00~1 -~06-02~00~2 -~06-24~00~0 -~06-27~00~3 -~07-16~00~0 -~07-29~00~0 Jaozinho5~06-25~10~50808 Josue2026~07-09~11~7262 JotapeGe~05-22~10~6 LANESDESTROYER~07-08~11~3666 Mackybull~06-09~00~12616 Megdaajo~07-18~10~60841 Nuno100~05-25~11~120958 blancz~08-13~11~157284 fortune-0114901~05-31~00~12 fortune-0128512~05-30~11~122859 fortune-0138094~07-18~11~13 fortune-0540996~07-30~11~14334 fortune-0776336~07-20~10~1 fortune-1151304~07-26~11~993 fortune-1209678~08-11~11~136 fortune-1575471~07-29~10~4 fortune-1629725~08-05~00~2700 fortune-1719972~07-01~00~39883 fortune-2264183~05-20~10~5498 fortune-2826304~07-25~11~1369 fortune-3074515~07-16~11~49000 fortune-3538399~06-15~10~29 fortune-3812404~08-12~10~207 fortune-3946983~07-03~00~95 fortune-4158535~06-20~10~28 fortune-4559569~06-17~00~1 fortune-5319253~07-10~11~30 fortune-5584405~06-26~00~439 fortune-6086117~06-25~10~5 fortune-6413664~05-22~10~2 fortune-6444467~08-22~10~4 fortune-6864249~07-18~11~26 fortune-7062057~07-14~11~12186 fortune-7117879~08-22~00~8583 fortune-7403383~07-09~10~101106 fortune-7644468~07-28~10~7 fortune-7694258~06-22~10~7 fortune-8499079~07-25~11~22 fortune-8529700~07-18~11~5 fortune-8578909~08-20~00~1 fortune-8910327~07-18~11~40 fortune-9131788~06-12~10~6 fortune-9249230~06-13~10~58605 fortune-9259820~05-14~11~1470 fortune-9319102~05-27~10~3 fortune-9543193~06-02~10~54207 jack-1086257~06-20~00~21423 jack-1294596~06-05~11~30282 jack-1763059~07-01~00~1 jack-2054227~07-23~11~108 jack-2471264~07-25~11~34 jack-2901106~07-30~00~36647 jack-3038132~07-18~11~13 jack-3083370~07-09~00~1 jack-3147968~07-18~11~66 jack-3181769~07-31~10~8 jack-3387162~07-14~11~66452 jack-3709851~07-17~11~10175 jack-3765479~07-29~10~11 jack-4413437~08-26~00~0 jack-5101453~06-15~11~50478 jack-5153924~05-29~10~0 jack-5412697~07-09~00~2 jack-5700322~08-02~10~0 jack-5780254~05-16~10~31 jack-5850862~06-18~11~86386 jack-5901884~07-29~00~16 jack-6060121~06-29~11~1269 jack-6415919~07-18~11~19 jack-6517383~07-05~11~15 jack-6673553~08-03~00~15681 jack-6852607~07-18~10~8 jack-7108992~07-18~10~0 jack-7365750~08-14~11~7305 jack-7566854~08-18~11~15111 jack-7848112~06-23~11~91740 jack-8497148~06-22~11~167345 jack-8626126~05-20~10~63470 jack-8823940~07-17~11~950 jack-9014353~05-31~10~0 jack-9406093~07-18~11~56 jack-9491575~06-15~11~68 jack-9733202~06-02~10~4 kikibb~08-19~00~18954 lilian21~06-20~00~1 snoow~06-23~11~143161
Brazil|www.google.com|56|-~05-13~00~0 -~06-19~00~1 -~07-01~00~0 -~07-05~00~0 -~07-27~00~0 -~07-27~00~0 -~08-06~00~5 -~08-11~00~0 NoLimitRosh~06-23~11~93367 fortune-0070754~07-10~10~1 fortune-0536488~07-15~10~26 fortune-1156552~05-25~10~0 fortune-2171927~07-24~10~1 fortune-4554519~07-13~10~54896 fortune-4639260~08-27~00~1 fortune-6241789~06-23~00~2 fortune-6269925~08-03~10~37 fortune-6296998~06-16~00~78201 fortune-6424349~05-18~10~15 fortune-6544119~06-29~11~46026 fortune-6906871~06-25~11~93643 fortune-6938281~05-13~10~174 fortune-6960300~07-26~10~1 fortune-7114227~07-21~11~94 fortune-8012812~06-10~10~1 fortune-8570352~07-21~10~0 fortune-9863267~05-24~10~14 jack-0406477~05-14~10~42 jack-0822932~06-23~11~7405 jack-0828917~08-11~10~24602 jack-1456847~07-03~11~4 jack-1622797~07-22~10~1 jack-1721526~05-30~10~47553 jack-1753842~07-18~10~0 jack-2083459~05-28~10~0 jack-2459346~07-09~11~74344 jack-3989512~06-11~11~105074 jack-4245157~07-23~11~80 jack-4394150~08-10~11~8054 jack-4990101~07-17~10~1 jack-5004696~07-20~10~9 jack-5237070~06-30~10~3690 jack-5580080~07-09~11~73480 jack-5798655~08-12~10~22792 jack-5960772~08-19~10~11 jack-5992918~06-29~10~1 jack-6452411~05-23~10~9 jack-6956276~06-02~00~2 jack-7875075~08-18~10~2 jack-8172394~05-24~00~7 jack-8228198~05-26~10~1 jack-8297134~07-18~00~1 jack-8398370~05-15~10~11 jack-8415654~05-16~10~6 marcosj10~05-14~11~151197 yagovnc~05-28~11~7490
Brazil|instagram.com|55|-~07-16~00~0 -~07-28~00~0 -~07-28~00~1 -~07-29~00~0 -~07-29~00~1 -~08-12~00~0 -~08-13~00~0 -~08-13~00~0 -~08-13~00~1 -~08-13~00~1 -~08-13~00~16 fortune-1235737~08-13~00~68 fortune-1341444~08-12~10~25 fortune-1502199~07-09~00~1 fortune-1708180~08-13~00~14 fortune-1836755~08-12~00~5 fortune-1983184~07-29~10~4 fortune-2012362~07-29~00~21564 fortune-2466364~07-13~10~43693 fortune-2725025~07-17~00~4 fortune-3201139~08-13~10~4 fortune-3219062~06-28~10~71 fortune-3943288~07-23~00~2 fortune-4299255~07-10~00~3013 fortune-4925996~06-26~10~14260 fortune-5299877~07-28~10~22945 fortune-5561365~07-25~00~1 fortune-6092402~07-15~10~0 fortune-6387606~06-29~10~15703 fortune-6824657~07-29~10~6 fortune-7403796~06-24~10~2999 fortune-8404923~07-11~10~41787 fortune-9006477~07-29~00~4 fortune-9007350~07-28~10~41014 fortune-9011499~06-27~10~31 fortune-9042015~08-01~10~2 jack-0004563~07-29~10~3 jack-0028078~08-10~11~17259 jack-0310387~07-29~00~4 jack-0397942~07-16~10~7 jack-0788261~07-17~10~6 jack-2328447~08-12~10~4 jack-3183168~07-18~10~20071 jack-3727882~07-29~10~8447 jack-4745131~08-12~00~8 jack-5059011~07-01~10~61320 jack-5350282~07-01~11~1360 jack-5934129~07-29~10~2 jack-7523599~07-28~00~1 jack-7708672~08-12~00~12 jack-7903941~07-10~00~5 jack-8565845~06-07~10~2 jack-9141737~07-14~10~13 jack-9219069~07-29~10~104 jack-9295152~06-26~00~158
Brazil|m.facebook.com|32|-~06-30~00~0 -~07-10~00~1 -~07-17~00~0 -~07-18~00~0 -~07-28~00~1 -~07-28~00~1 -~07-28~00~1 -~07-28~00~3 -~07-28~00~63 -~07-29~00~0 -~08-03~00~2 -~08-13~00~0 fortune-0956577~07-19~10~34702 fortune-2716681~08-08~10~41206 fortune-3373799~07-31~00~11440 fortune-5902869~07-28~00~22055 fortune-7461731~07-13~10~3 fortune-7603158~07-12~10~17 fortune-7963379~08-11~10~8 fortune-9735385~06-26~00~26037 fortune-9814407~07-31~00~15395 jack-0867290~07-14~10~16 jack-0996029~07-28~00~21636 jack-1199364~07-20~11~40629 jack-1331076~07-21~10~17683 jack-1849152~08-13~00~5 jack-4088396~07-11~11~51123 jack-4472107~07-15~00~149 jack-6073951~06-28~00~8 jack-6161331~07-29~10~28945 jack-6312137~08-13~00~20798 jack-7535861~07-10~10~50371
Brazil|t.co|20|-~05-18~00~10 ComplicatedMIH~08-29~10~227 fortune-0088071~05-27~11~1121 fortune-3366117~05-20~11~64 fortune-4236275~05-18~11~14 fortune-5926908~05-13~11~40 fortune-6272696~05-18~11~34 fortune-6367550~06-19~10~24332 fortune-6475190~05-19~11~34 fortune-7407744~08-13~11~40 fortune-7417189~05-13~10~0 fortune-7784516~07-23~11~17481 jack-2683421~05-19~11~46 jack-4095036~06-16~11~1164 jack-6483290~05-21~11~1803 jack-6879667~05-19~11~13 jack-7301542~05-13~11~77 jack-8954045~06-30~10~1 jack-9093105~05-20~11~166 jack-9867951~05-14~00~120232
Brazil|l.facebook.com|11|-~07-29~00~0 -~08-13~00~1 fortune-0517341~07-29~00~2 fortune-1343267~08-13~00~26 fortune-3868739~08-13~10~3398 fortune-7937860~07-15~00~2 jack-0292706~08-12~00~141 jack-0807961~08-09~11~19298 jack-4354903~06-04~10~9 jack-6046563~07-15~10~41286 jack-8132295~07-21~10~7
Canada|$direct|115|-~05-13~00~0 -~05-13~00~75224 -~05-14~00~1 -~05-17~00~0 -~05-17~00~0 -~05-21~00~0 -~05-26~00~0 -~05-28~00~0 -~05-30~00~0 -~05-31~00~0 -~06-01~00~1 -~06-01~00~1 -~06-05~00~1 -~06-09~00~0 -~06-09~00~0 -~06-17~00~2 -~07-04~00~1 -~07-31~00~0 -~08-18~00~14604 Aaron_matthews~06-17~00~101966 Exwest~06-05~11~135502 Iecho11pro~06-11~10~25 Loulou4243~06-09~00~7 NatBur~08-13~10~150085 Samkiki~06-01~11~111656 Shanevanders~06-12~00~22352 Slimjim86~06-13~10~15565 daddy880~06-17~10~90509 fortune-0141866~05-26~00~25989 fortune-0325110~05-31~10~2 fortune-0562630~08-22~00~109448 fortune-0660139~06-03~10~121121 fortune-0742982~05-27~00~3 fortune-0808664~08-26~00~1 fortune-0990426~05-18~00~2 fortune-1019162~05-23~10~98521 fortune-1104258~08-22~00~5 fortune-1164387~05-26~11~43020 fortune-1204989~05-25~11~22135 fortune-1294899~06-13~10~12 fortune-1512466~07-16~00~6 fortune-1848662~05-25~00~1 fortune-2044297~07-17~11~41 fortune-2196431~08-25~10~3912 fortune-2201988~06-12~10~11948 fortune-2261158~06-13~11~54724 fortune-2270496~08-26~00~1 fortune-2520546~05-19~10~111294 fortune-2803561~06-11~00~0 fortune-3171183~05-21~00~8703 fortune-3188383~05-22~10~1399 fortune-3253158~05-24~11~46444 fortune-3917937~07-22~00~1 fortune-4421986~05-21~10~90 fortune-4819107~08-25~00~4612 fortune-6330547~06-12~10~2 fortune-6330685~05-26~00~2 fortune-6872751~05-15~10~20604 fortune-7194695~08-14~11~60 fortune-7202711~06-20~11~88471 fortune-7554372~06-05~00~0 fortune-7639541~08-08~10~2 fortune-7886673~08-19~11~1416 fortune-7914502~05-25~11~44993 fortune-7976650~05-30~00~15721 fortune-7988802~05-27~10~41561 fortune-8033689~05-30~00~132 fortune-8116908~05-19~00~59391 fortune-8242279~05-22~11~48612 fortune-8606661~05-23~11~47000 fortune-9303603~07-14~11~3591 fortune-9357096~07-08~00~0 fortune-9492815~06-19~11~67707 fortune-9914173~06-22~10~77639 jack-0200474~08-26~00~2 jack-0298551~06-19~11~20164 jack-0305546~08-26~00~1 jack-0804111~05-17~00~7 jack-0892909~08-26~11~2481 jack-1375168~08-05~10~306 jack-1383799~05-31~10~45 jack-1542180~06-11~00~10 jack-1958801~08-11~10~318 jack-2247833~05-20~10~94187 jack-2310778~06-10~10~5 jack-2333594~05-25~11~45049 jack-2464006~06-09~00~17555 jack-3604317~05-26~10~11392 jack-3663858~06-02~00~51512 jack-3676373~05-23~11~47891 jack-3899226~05-27~11~43958 jack-4069001~06-05~00~0 jack-4206385~08-25~00~0 jack-4266137~05-31~11~116542 jack-4533068~06-02~10~2123 jack-4883539~07-24~00~10 jack-5012195~05-26~11~101847 jack-5152920~05-18~10~54439 jack-5206302~08-07~00~11310 jack-5255824~05-22~11~48612 jack-5392023~08-26~00~1 jack-5889822~07-18~11~13145 jack-6143481~06-02~11~22022 jack-6781520~06-05~00~1 jack-7197800~06-15~00~2 jack-7611978~05-28~10~76117 jack-8293099~06-12~11~125 jack-8512482~08-11~10~9991 jack-8538629~08-26~00~652 jack-8793419~08-26~00~0 jack-8891216~05-14~00~11018 jack-9542514~07-21~10~8 jack-9659128~05-22~11~48240 jack-9753239~06-04~00~3 jack-9995920~05-31~11~136383
Canada|l.facebook.com|40|-~05-30~00~0 -~06-01~00~1 -~06-06~00~2 -~06-09~00~2 -~06-27~00~0 -~06-30~00~1 -~07-26~00~2 -~08-23~00~0 -~08-24~00~1 -~08-25~00~23122 fortune-0558987~05-18~10~48243 fortune-0609417~06-26~10~10828 fortune-1196615~06-05~10~125299 fortune-1739263~06-25~10~2 fortune-2425674~06-06~10~11286 fortune-3183999~07-11~10~1 fortune-3643095~05-29~00~36004 fortune-4687081~06-06~10~9 fortune-7050960~06-06~10~5 fortune-7121642~06-10~10~542 fortune-7806299~07-24~10~19417 fortune-8721056~06-08~00~0 jack-0009612~05-27~00~96800 jack-0151448~06-20~10~8664 jack-0171226~05-13~10~150585 jack-0372634~05-22~10~66045 jack-0833867~05-20~00~131102 jack-1457719~05-15~00~17 jack-1733521~06-12~10~25846 jack-2103640~08-16~00~4 jack-2561356~08-13~10~16832 jack-3426704~08-15~10~17893 jack-3768707~06-12~10~2 jack-4675464~05-20~10~2573 jack-4729756~06-10~10~1 jack-5380688~07-23~10~4350 jack-5550524~06-02~00~22742 jack-5778586~08-24~10~395 jack-6187036~07-02~00~40946 jack-8528035~08-21~00~48
Canada|m.facebook.com|40|-~05-22~00~1 -~05-29~00~12946 -~06-09~00~0 -~07-11~00~2042 -~07-11~00~3 -~08-08~00~2 -~08-13~00~0 -~08-17~00~0 Mariann10211989~05-19~10~67792 fortune-0508110~08-15~00~2527 fortune-1577127~05-29~00~89159 fortune-1802636~08-05~00~14508 fortune-1818702~06-04~10~88504 fortune-2510255~05-19~00~13 fortune-3282741~08-16~10~10 fortune-3412205~08-21~00~720 fortune-4268255~08-15~10~16 fortune-4421167~05-23~00~1723 fortune-5885727~07-25~00~3 fortune-6076224~05-25~10~4005 fortune-6539640~08-15~00~5 fortune-7332713~06-02~10~11 fortune-7457916~06-12~10~1543 fortune-7540738~06-20~10~1 fortune-8263450~05-24~00~16134 fortune-8441411~05-21~00~47202 fortune-9447982~06-11~00~342 fortune-9875582~05-21~10~46482 jack-0126597~08-09~10~51 jack-2494460~06-11~10~1 jack-3129998~05-20~10~31524 jack-3214965~08-11~10~8 jack-6411474~05-25~10~16 jack-6710746~06-21~10~4546 jack-6968205~06-30~10~2495 jack-7100332~06-24~10~20365 jack-7859928~05-28~00~2244 jack-8601913~08-16~10~4476 jack-8799628~08-13~00~14863 jack-9896252~08-02~10~26
Canada|www.google.com|20|-~05-13~00~0 -~05-15~00~0 -~05-23~00~3 -~06-11~00~8 -~07-20~00~2 Pepito121~05-16~10~20 fortune-3285098~05-19~11~3331 fortune-5330185~05-18~10~0 fortune-6542917~05-21~10~0 fortune-6820256~07-29~11~34 fortune-7809795~08-24~11~849 jack-0739183~06-02~10~2 jack-1402947~05-21~00~6 jack-4030508~06-02~10~1 jack-4718028~06-09~10~4574 jack-5386542~06-05~10~28 jack-7179511~05-17~00~12 jack-8250238~05-17~10~42020 jack-9361640~06-08~10~0 jack-9913609~05-25~00~586
