btag|n|packed
101575715_493605|74|-~05-20~00~1 fortune-7119549~05-16~11~453 -~05-20~00~1 jack-7915797~05-25~11~271 fortune-5373233~05-20~11~107 -~05-20~00~0 fortune-4727281~05-17~11~4461 jack-9679290~05-22~11~2680 -~05-18~00~1 fortune-8939209~05-25~11~165 jack-2829193~05-24~10~1 jack-1822678~05-24~11~19205 abccasa~07-16~11~80742 fortune-7573536~05-25~10~5 fortune-2546347~05-24~11~69 fortune-9657322~05-16~11~20223 jack-4346681~05-20~11~24217 jack-7828674~05-26~11~288 jack-9612171~05-19~00~5477 fortune-0069774~05-25~11~49 jack-9625330~05-22~11~49 jack-1526284~05-16~11~103 -~05-20~00~1 fortune-7189684~05-22~11~12825 fortune-4935835~05-18~11~16154 fortune-0380052~05-17~11~13411 jack-2053977~05-17~00~2 -~05-20~00~0 -~05-16~00~0 fortune-6712588~05-22~11~27669 jack-2679137~05-16~00~110 fortune-3469961~05-23~11~5865 fortune-5795980~06-03~11~640 fortune-4644277~05-20~11~64 -~05-21~00~0 19alexhy~05-20~00~1 fortune-1610154~05-22~11~27565 jack-4013769~05-17~11~1534 -~05-22~00~1 fortune-8254312~05-24~10~636 -~05-24~00~2 jack-1448716~05-25~00~13230 -~05-16~00~1 fortune-9853449~05-20~11~3063 fortune-2933555~05-24~10~5 fortune-6072970~05-22~11~387 fortune-7675345~05-20~11~23 -~05-26~00~1 fortune-3752148~05-18~11~92008 -~05-21~00~0 jack-8990857~05-23~10~74278 jack-2560816~05-17~11~166 jack-2686029~05-17~11~2601 jack-8426867~05-22~11~105 fortune-0152432~05-16~00~14 jack-6510384~05-20~00~6 -~05-24~00~211 fortune-5428822~05-24~11~4516 fortune-2730190~05-25~11~83715 jack-3825998~05-20~11~2450 fortune-2805548~05-20~00~1009 -~05-25~00~1 jack-7651714~05-18~11~27677 jack-2955958~05-18~11~18945 jack-7283419~05-24~00~37 fortune-1519663~05-17~11~48 sirmike9~05-19~11~246 -~05-18~00~1 Andreweed~05-20~11~131404 jack-3033586~05-20~00~4 zoliveira26~05-20~11~520 jack-1726913~05-17~11~1093 jack-5503265~05-18~00~177 zicoadri~07-07~11~108356
101575747_470737|68|-~07-16~00~1 fortune-7796994~07-26~11~30 jack-4155092~07-10~11~23 -~07-22~00~0 jack-9061905~07-14~11~37567 -~07-22~00~1 fortune-2731138~07-10~11~8 fortune-2997498~07-20~11~1364 jack-1335176~07-16~11~22 -~07-24~00~0 fortune-8457826~07-28~11~158 jack-4376959~07-24~11~428 jack-1457497~07-17~11~56 fortune-1751941~07-18~11~245 jack-4356275~07-24~11~280 jack-1212607~07-28~10~1 jack-4829902~07-26~11~20948 -~07-28~00~1 jack-7079107~07-28~11~247 jack-4117698~07-20~11~629 fortune-7820219~07-18~10~35 fortune-3921019~07-18~11~45789 jack-6160762~07-18~11~11673 jack-4015198~07-10~11~44593 -~07-13~00~0 fortune-8745256~07-18~11~2362 jack-0842475~07-26~11~13055 fortune-0551812~07-10~11~10 fortune-0939157~07-11~11~22552 jack-2080509~07-22~11~240 fortune-4030639~07-12~11~1664 fortune-5081567~07-22~11~334 fortune-3350055~07-26~11~103 fortune-2693883~07-13~11~152 jack-1306370~07-28~00~213 jack-7063581~07-13~11~58 jack-0905084~07-18~11~7511 fortune-5772181~07-24~11~4593 jack-9219992~07-22~11~366 jack-9046452~07-10~11~62522 fortune-1371241~07-28~11~9692 jack-3084309~07-11~11~4286 fortune-4447291~07-15~11~7146 fortune-0159681~07-15~11~1006 jack-2940445~07-13~11~122 fortune-7252120~07-16~11~10463 jack-3287547~07-11~11~9570 -~07-16~00~4 fortune-7406023~07-18~11~232 jack-0616065~07-12~11~1661 fortune-5721131~07-10~11~25 fortune-3495062~07-11~11~13174 jack-4805311~07-20~11~6173 jack-4068227~07-28~11~10213 fortune-0162739~07-22~11~345 jack-5564734~07-15~11~17654 jack-6270192~07-22~11~67 jack-2585337~07-16~11~10604 jack-0763880~07-24~11~123 jack-8795315~07-26~11~11300 fortune-0471312~07-16~11~5574 jack-1694423~07-28~11~1635 jack-4914467~07-14~11~18413 fortune-1151127~07-20~00~215 jack-1619058~07-10~00~3 jack-0555029~07-20~11~46718 -~07-21~00~0 jack-7548674~07-22~11~212
101578548_492625|33|-~05-24~00~0 fortune-2638654~05-23~11~118026 fortune-2010508~05-14~00~1 GODarrow~05-25~11~137458 fortune-3695015~05-31~11~49345 TiagoCS10~06-01~11~70147 jack-6857772~05-29~00~36664 fortune-2177581~05-13~10~148956 fortune-5680041~05-15~00~17249 Tagota~05-23~11~57275 jack-3257934~06-02~10~1693 jack-7905956~05-24~00~14407 fortune-2183570~05-24~11~123380 jack-9014338~05-29~11~11485 -~05-31~00~1 jack-7748445~05-24~10~33085 r0nd00~05-31~11~102134 fortune-5535482~05-25~11~3597 Sucesso2675~05-25~11~24988 jack-1885725~06-01~00~25395 fortune-7815139~05-23~00~67620 PISTOLAS30~06-01~11~18023 -~06-01~00~0 fortune-7489402~05-24~11~9746 fortune-4547632~05-24~11~21619 jack-4423145~06-08~10~145577 fortune-7578685~05-30~11~86672 jack-8417473~05-23~11~30953 vangooog~05-23~11~16116 jack-4027972~05-26~11~137761 fortune-4887303~06-01~10~42295 jack-9396876~05-24~11~15187 jack-0967270~05-25~00~22955
101578548_497396|54|jack-7509445~08-24~10~1 jack-6293210~07-08~00~534 jack-0028078~08-10~11~17259 fortune-0002517~06-14~11~1388 jack-8843025~06-03~11~1118 jack-1296951~06-29~11~38 fortune-4100183~08-10~11~5997 Ramalho722~06-09~11~22075 fortune-1913919~07-15~11~63684 tiaguiris77~06-08~00~91736 jack-6888046~06-04~11~108 jack-5850862~06-18~11~86387 -~06-12~00~0 Hraki~06-12~11~58063 fortune-3188034~08-12~11~13001 fortune-7533867~08-24~10~2 fortune-5058178~06-15~10~1283 fortune-1772145~06-04~11~35 fortune-4200099~08-10~10~9969 fortune-8208291~08-10~11~5793 jack-2247623~07-07~00~1 fortune-6638529~06-20~10~2 jack-5087874~08-10~11~19674 fortune-2032925~06-04~00~4 Godwins007~08-10~11~7558 fortune-1896210~08-10~11~16 supermario121~06-03~11~16850 fortune-0622739~08-10~11~12148 jack-7246158~06-12~11~118 jack-1527667~06-14~11~36075 jack-6725290~06-04~11~9832 fortune-3711318~06-08~11~7373 zzzzzzzasaa~08-12~11~80565 fortune-2796096~06-05~11~29824 fortune-0752290~06-30~00~11509 mugitothebro~06-03~11~124181 jack-1285726~06-05~10~54751 jack-1971522~08-11~11~18507 fortune-7542750~06-04~11~7201 Naxi1998~06-06~11~27951 fortune-9256665~08-11~11~5645 fortune-3400757~06-18~11~1146 Beatrizisabel22~08-10~11~10169 jack-9753239~06-04~00~3 -~06-03~00~3 fortune-6150591~06-26~11~16947 jack-8872933~06-06~11~4401 jack-3701493~06-04~11~91868 jack-9612997~06-04~11~750 fortune-0072063~06-25~11~900 fortune-1715405~08-10~10~90286 jack-2249947~08-17~11~744 jack-3541625~06-15~11~34588 fortune-5910604~08-11~10~3
101644135_471394|151|fortune-4446612~08-29~10~19 BabieyG~06-07~10~23159 -~05-24~00~0 fortune-7649957~05-25~10~55325 jack-8899143~06-25~00~10513 -~07-16~00~0 Tessaloo98~06-25~10~14931 fortune-7105933~06-25~00~5 -~05-31~00~1 jack-5742833~06-30~00~8871 jack-6374136~05-26~00~18 jack-9346567~06-05~10~15 -~07-20~00~1 jack-2257817~06-17~00~24007 -~08-23~00~0 fortune-9853974~07-31~00~4 -~07-15~00~5 fortune-4908574~06-21~00~12821 jack-1264600~06-16~00~4 jack-1977363~07-11~00~3290 fortune-1193156~06-28~00~3 jack-3459890~07-15~00~5 fortune-1258951~06-26~00~59103 jack-9010590~05-31~00~33079 fortune-2783644~07-30~00~3 jack-6411670~08-08~00~1 jack-8501202~06-04~10~12092 fortune-6261255~08-17~00~8 fortune-7588144~08-17~10~7 jack-5358018~07-07~00~1 jack-9752619~06-02~00~6 fortune-2170025~06-05~00~1 fortune-7659744~06-30~00~4 Lepszaa~06-26~10~68794 Stephane1974~05-25~10~68 Darci1988~06-19~00~19001 fortune-8515404~07-07~10~6 jack-8788438~06-27~00~97 fortune-9430741~07-26~10~3 fortune-4613035~08-19~00~0 -~08-25~00~1 fortune-0314496~08-06~10~5 fortune-1743602~07-14~00~4 -~08-17~00~0 fortune-4535817~06-03~00~1373 jack-6272770~08-19~00~1 fortune-7341644~07-05~10~63670 jack-9901019~05-21~00~47484 jack-7838358~06-29~10~12 fortune-9781830~05-14~10~5 jack-9720837~07-28~10~30092 fortune-8794320~05-14~10~9 fortune-0148717~06-29~00~6313 fortune-3207339~08-03~00~4 jack-1309721~06-06~00~3 fortune-2271505~06-22~10~1 -~05-27~00~0 fortune-2011655~08-05~00~1 jack-1271064~06-14~10~6 -~06-23~00~13 fortune-0978230~08-20~00~7 jack-4199251~07-29~00~10538 fortune-4587198~06-20~10~4 fortune-3148202~07-10~10~2824 fortune-2044911~08-23~00~1 fortune-9630790~06-29~10~229 fortune-4104484~05-20~00~48 Taso2208~05-30~10~47420 fortune-6218401~06-25~00~67194 -~05-19~00~0 fortune-5008667~07-17~10~7552 fortune-7507515~08-14~00~2 jack-3240866~07-30~00~1 jack-1023934~08-19~10~27 -~06-05~00~0 Marta12m~05-18~10~19990 fortune-8989599~06-19~10~2 jack-9802750~08-16~10~5091 -~06-07~00~1 jack-4377017~07-30~10~26215 fortune-1684503~08-17~00~17 jack-3307453~06-09~10~50266 fortune-2971746~05-20~00~101318 Rowena201977~05-13~10~78077 jack-1110441~08-08~00~9 fortune-5909259~08-09~10~6622 fortune-0359403~07-18~10~215 jack-7884450~07-27~00~2 chill35~05-15~00~153539 -~05-15~00~1 -~06-04~00~462 jack-5356354~07-22~00~3049 fortune-0224396~06-18~10~1 jack-3470894~05-17~00~59043 fortune-0690554~05-24~10~63972 fortune-7346654~07-27~00~6 fortune-7383593~06-10~00~115677 fortune-5753048~06-26~10~58329 fortune-4223841~07-14~00~6 fortune-1502628~06-23~10~47 jack-8272887~08-22~10~1104 jack-2973105~07-03~00~4 -~08-14~00~0 fortune-4721740~05-22~00~7 Darkjobo93~07-05~00~17 fortune-2059772~06-19~10~34115 fortune-5999079~07-27~10~7329 jack-6159045~06-26~00~19966 jack-7191420~06-17~10~3 fortune-7495722~05-22~00~18585 fortune-4332592~07-03~00~5 jack-1977861~08-22~00~6 fortune-5528978~08-19~00~11 fortune-7857136~05-22~00~4501 -~06-20~00~0 fortune-9775908~08-01~00~1529 jack-2488781~08-15~00~40 jack-5340073~07-03~00~1 jack-0925478~06-22~00~11 fortune-0372401~06-27~10~290 fortune-9339939~07-08~10~658 fortune-1685950~08-10~10~3 jack-6216731~08-25~10~11 fortune-2583668~08-14~00~3 jack-7146497~07-05~00~1318 jack-5790560~07-08~00~1 jack-6611392~08-10~00~0 jack-4067384~05-25~00~129709 fortune-9804903~07-11~00~26 jack-8853591~06-17~10~15 fortune-4576522~08-08~00~18860 Aisteelij~06-23~10~74669 jack-3626918~07-07~00~1 jack-7721146~08-05~00~17212 -~06-14~00~0 fortune-5030119~07-27~10~91 smieska12~05-23~10~139 fortune-0658340~05-18~00~4 fortune-6757224~08-02~00~1 jack-6830771~08-08~00~238 jack-7980367~06-18~00~3 -~06-06~00~2 fortune-6656561~07-05~00~4 fortune-3123783~08-02~00~2 jack-0787778~06-18~10~41413 -~06-08~00~43180 fortune-7093594~05-18~10~82336 -~06-02~00~3 jack-7748891~08-03~00~2 jack-7228007~08-09~10~6165 fortune-8577162~06-19~10~58
101769693_493604|57|fortune-3616333~05-29~11~39 fortune-4232971~05-17~11~12649 jack-5716963~05-21~11~936 jack-5278331~05-26~10~8020 fortune-2170743~05-23~10~24 fortune-4666648~05-21~11~919 fortune-9754116~05-17~00~3 fortune-6142912~05-19~11~322 -~05-16~00~1 -~05-17~00~2 jack-2809567~05-21~11~12062 fortune-7711335~05-29~11~9 fortune-6623111~05-23~11~2447 fortune-9816167~05-17~11~351 fortune-4098693~07-10~00~257 fortune-6665093~05-15~10~76213 fortune-0789876~05-17~10~2251 jack-4047492~05-15~11~1644 jack-9963749~05-17~11~144060 claudiaesteves~05-19~00~2 jack-8680190~05-20~11~15671 fortune-0701924~05-23~11~2363 fortune-8489717~05-26~00~2735 jack-3991985~05-29~11~19 jack-7087090~07-10~10~106 -~05-23~00~2 fortune-7892011~05-21~10~3 fortune-2319761~05-15~11~12821 jack-7865808~05-23~11~117001 -~05-17~00~1 jack-2754504~05-17~11~4198 fortune-7265524~05-21~11~1250 jack-4341340~05-23~11~1147 jack-8958406~05-16~11~19981 jack-4260876~05-26~10~63 jack-7430330~05-17~10~12402 jack-2548247~05-16~11~3322 -~05-23~00~1 -~05-19~00~1 jack-5006965~05-22~11~4497 -~05-23~00~10 -~07-10~00~7 fortune-2801271~05-19~11~25731 fortune-0385566~05-23~11~140472 fortune-1753883~05-22~11~8962 jack-1489422~05-15~11~2743 fortune-4755273~05-17~11~80328 jack-7727482~05-17~11~91673 jack-1398178~05-15~11~26968 jack-3711102~05-19~11~141754 DinisCastro~05-15~11~8707 fortune-4102986~05-22~00~5248 -~05-19~00~4 fortune-1931861~05-21~11~1305 fortune-0099012~05-23~11~86 fortune-2271288~05-17~11~8994 -~05-23~00~1
101826048_472512|6|fortune-6710996~08-08~00~0 jack-5428384~08-29~10~159 -~08-23~00~1195 -~05-27~00~0 fortune-0101422~07-26~00~10 fortune-8108920~07-06~10~20
103128376_486395|6|fortune-4481424~05-31~00~127039 jack-3528655~08-02~11~1550 jack-9581984~05-18~10~33727 jack-4932591~08-24~10~6 jack-4273421~05-26~10~3 -~05-17~00~0
103157756_487754|23|-~07-22~00~1 jack-1587814~06-09~11~79275 -~06-27~00~1 fortune-2416550~06-10~10~20256 jack-2533550~06-27~11~242 fortune-2562342~08-17~11~18480 fortune-5798029~06-12~11~107695 fortune-8003447~06-25~11~1304 jack-5488481~06-10~10~1 jack-8190752~07-23~10~12926 fortune-9627109~07-27~10~4 fortune-5434750~07-08~10~9 jack-5793981~06-23~11~59153 jack-5480277~08-16~10~6 fortune-6092547~06-14~10~67995 fortune-5233444~06-20~10~838 -~06-20~00~0 fortune-4652156~08-25~10~11 jack-8063308~05-15~10~5771 jack-0066886~05-17~00~131772 jack-8459607~07-28~11~43099 jack-7540020~07-30~10~5636 fortune-0804354~07-11~11~2
103157797_487755|9|jack-7078226~06-02~00~42 jack-3495188~08-29~10~5083 fortune-7205216~06-19~00~21801 -~05-19~00~1 jack-5368877~07-22~10~9 fortune-4013113~05-20~11~140972 fortune-6723115~08-27~10~6 fortune-6406562~06-20~10~64372 jack-1493671~06-25~10~414
